,date,value
0,1998-03-19,79.23
1,1998-04-15,79.71
2,1998-05-15,79.93
3,1998-05-22,80.0
4,1998-05-29,80.05
5,1998-06-12,80.08
6,1998-06-19,80.12
7,1998-06-26,80.1
8,1998-07-03,80.08
9,1998-07-10,80.06
10,1998-07-17,80.03
11,1998-07-24,79.99
12,1998-07-31,79.96
13,1998-08-07,79.89
14,1998-08-14,79.84
15,1998-08-21,79.75
16,1998-08-28,79.69
17,1998-09-04,79.6
18,1998-09-11,79.49
19,1998-09-18,79.39
20,1998-09-25,79.28
21,1998-10-02,79.18
22,1998-10-09,79.13
23,1998-10-17,79.07
24,1998-10-23,79.0
25,1998-10-30,79.54
26,1998-11-06,79.54
27,1998-11-09,79.54
28,1998-11-13,79.49
29,1998-11-20,79.58
30,1998-11-27,79.67
31,1998-12-04,79.78
32,1998-12-11,79.93
33,1998-12-18,80.09
34,1998-12-24,80.28
35,1998-12-31,80.49
36,1999-01-08,80.84
37,1999-01-15,81.22
38,1999-01-22,81.5
39,1999-01-29,81.82
40,1999-02-05,82.15
41,1999-02-12,82.38
42,1999-02-19,82.65
43,1999-02-26,82.88
44,1999-03-05,83.37
45,1999-03-12,83.62
46,1999-03-19,83.87
47,1999-03-26,84.55
48,1999-04-02,84.72
49,1999-04-09,84.94
50,1999-04-16,85.19
51,1999-04-23,85.39
52,1999-04-30,85.6
53,1999-05-07,85.65
54,1999-05-14,85.69
55,1999-05-21,85.73
56,1999-05-28,85.77
57,1999-06-04,85.72
58,1999-06-11,85.63
59,1999-06-17,85.52
60,1999-06-25,85.41
61,1999-07-02,85.22
62,1999-07-09,85.04
63,1999-07-16,84.87
64,1999-07-23,84.69
65,1999-07-30,84.5
66,1999-08-06,84.23
67,1999-08-13,83.97
68,1999-08-20,83.73
69,1999-08-27,83.48
70,1999-09-03,83.25
71,1999-09-10,83.0
72,1999-09-17,82.31
73,1999-09-24,81.57
74,1999-10-01,81.7
75,1999-10-08,81.82
76,1999-10-15,81.93
77,1999-10-22,82.05
78,1999-10-29,81.93
79,1999-11-05,81.77
80,1999-11-12,81.62
81,1999-11-19,81.49
82,1999-11-26,81.39
83,1999-12-03,81.3
84,1999-12-10,81.23
85,1999-12-17,81.18
86,1999-12-24,81.16
87,1999-12-31,81.42
88,2000-01-07,81.75
89,2000-01-14,82.1
90,2000-01-21,82.46
91,2000-01-28,82.82
92,2000-02-04,83.18
93,2000-02-11,83.52
94,2000-02-18,83.87
95,2000-02-25,84.22
96,2000-03-03,84.42
97,2000-03-10,84.63
98,2000-03-17,84.83
99,2000-03-24,85.04
100,2000-03-31,85.24
101,2000-04-07,85.44
102,2000-04-14,85.63
103,2000-04-21,85.82
104,2000-04-28,86.01
105,2000-05-05,86.14
106,2000-05-12,86.26
107,2000-05-19,86.38
108,2000-05-26,86.49
109,2000-06-02,86.6
110,2000-06-09,86.68
111,2000-06-16,86.61
112,2000-06-23,86.54
113,2000-06-30,86.48
114,2000-07-07,86.42
115,2000-07-15,86.24
116,2000-07-21,85.93
117,2000-07-28,85.71
118,2000-08-04,85.52
119,2000-08-11,85.3
120,2000-08-18,85.07
121,2000-08-25,84.85
122,2000-09-01,84.6
123,2000-09-08,84.35
124,2000-09-15,84.15
125,2000-09-22,83.94
126,2000-09-29,83.73
127,2000-10-06,83.64
128,2000-10-13,83.54
129,2000-10-20,83.45
130,2000-10-27,83.35
131,2000-11-03,83.5
132,2000-11-10,83.7
133,2000-11-17,83.89
134,2000-11-25,84.2
135,2000-12-01,84.51
136,2000-12-08,84.95
137,2000-12-15,85.4
138,2000-12-22,85.86
139,2000-12-29,86.34
140,2001-01-05,86.72
141,2001-01-12,87.11
142,2001-01-19,87.52
143,2001-01-26,87.97
144,2001-02-02,88.26
145,2001-02-09,88.54
146,2001-02-16,88.75
147,2001-02-23,88.95
148,2001-03-02,89.16
149,2001-03-09,89.4
150,2001-03-16,89.58
151,2001-03-23,89.81
152,2001-03-30,90.1
153,2001-04-06,90.39
154,2001-04-13,90.16
155,2001-04-20,91.02
156,2001-04-27,91.21
157,2001-05-04,91.48
158,2001-05-11,91.57
159,2001-05-18,91.61
160,2001-05-25,91.63
161,2001-06-01,91.49
162,2001-06-08,91.34
163,2001-06-15,91.16
164,2001-06-22,90.98
165,2001-06-29,90.7
166,2001-07-06,90.38
167,2001-07-13,90.04
168,2001-07-20,89.69
169,2001-07-27,89.31
170,2001-08-03,89.02
171,2001-08-10,88.73
172,2001-08-17,88.44
173,2001-08-24,88.14
174,2001-08-31,87.86
175,2001-09-07,87.58
176,2001-09-14,87.3
177,2001-09-21,87.04
178,2001-09-28,86.7
179,2001-10-05,86.44
180,2001-10-12,86.18
181,2001-10-19,85.92
182,2001-10-26,85.67
183,2001-11-02,85.5
184,2001-11-09,85.33
185,2001-11-16,85.16
186,2001-11-23,85.04
187,2001-11-30,84.92
188,2001-12-07,84.98
189,2001-12-14,85.08
190,2001-12-21,85.19
191,2001-12-28,85.38
192,2002-01-10,85.77
193,2002-01-18,85.98
194,2002-02-27,87.81
195,2002-03-25,89.42
196,2002-05-28,89.72
197,2002-06-24,88.54
198,2002-07-31,86.93
199,2002-08-29,85.8
200,2002-09-30,84.54
201,2002-10-29,83.73
202,2002-11-05,83.5
203,2002-12-02,84.09
204,2003-01-13,87.48
205,2003-02-06,88.43
206,2003-02-26,88.91
207,2003-03-03,88.96
208,2003-03-10,89.01
209,2003-03-17,88.96
210,2003-03-24,88.91
211,2003-03-31,88.81
212,2003-04-07,88.63
213,2003-04-14,88.44
214,2003-04-21,88.22
215,2003-04-28,87.97
216,2003-05-05,87.72
217,2003-05-12,87.41
218,2003-05-19,87.13
219,2003-05-26,86.88
220,2003-06-02,86.66
221,2003-06-09,86.39
222,2003-06-16,86.08
223,2003-06-23,85.81
224,2003-06-30,85.51
225,2003-07-07,85.23
226,2003-07-14,84.89
227,2003-07-21,84.6
228,2003-07-28,84.28
229,2003-08-04,84.0
230,2003-08-11,83.74
231,2003-08-18,83.49
232,2003-08-25,83.25
233,2003-09-01,83.19
234,2003-09-08,82.99
235,2003-09-15,82.79
236,2003-09-22,82.64
237,2003-09-29,82.48
238,2003-10-06,82.34
239,2003-10-13,82.2
240,2003-10-20,82.05
241,2003-10-27,81.94
242,2003-11-03,81.85
243,2003-11-10,81.71
244,2003-11-17,81.6
245,2003-11-24,81.49
246,2003-12-01,81.4
247,2003-12-08,81.28
248,2003-12-15,81.24
249,2003-12-22,81.18
250,2003-12-29,81.16
251,2004-01-02,80.94
252,2004-01-09,80.89
253,2004-01-16,80.84
254,2004-01-23,80.81
255,2004-01-30,80.79
256,2004-02-06,80.84
257,2004-02-13,80.89
258,2004-02-20,80.94
259,2004-02-27,80.98
260,2004-03-05,81.04
261,2004-03-12,81.1
262,2004-03-19,81.15
263,2004-03-26,81.2
264,2004-04-02,81.16
265,2004-04-09,81.11
266,2004-04-16,81.04
267,2004-04-23,80.97
268,2004-04-30,80.88
269,2004-05-07,80.79
270,2004-05-14,80.69
271,2004-05-19,79.81
272,2004-05-20,79.79
273,2004-05-21,79.79
274,2004-05-22,79.78
275,2004-05-23,79.76
276,2004-05-24,79.75
277,2004-05-25,79.74
278,2004-05-26,79.72
279,2004-05-27,79.71
280,2004-05-28,79.69
281,2004-05-29,79.68
282,2004-05-30,79.68
283,2004-05-31,79.67
284,2004-06-01,79.65
285,2004-06-02,79.64
286,2004-06-03,79.63
287,2004-06-04,79.62
288,2004-06-05,79.61
289,2004-06-06,79.59
290,2004-06-07,79.57
291,2004-06-08,79.57
292,2004-06-09,79.56
293,2004-06-10,79.54
294,2004-06-11,79.52
295,2004-06-12,79.51
296,2004-06-13,79.5
297,2004-06-14,79.49
298,2004-06-15,79.47
299,2004-06-16,79.47
300,2004-06-17,79.46
301,2004-06-18,79.46
302,2004-06-19,79.44
303,2004-06-20,79.43
304,2004-06-21,79.43
305,2004-06-22,79.41
306,2004-06-23,79.4
307,2004-06-24,79.39
308,2004-06-25,79.38
309,2004-06-26,79.37
310,2004-06-27,79.36
311,2004-06-28,79.33
312,2004-06-29,79.32
313,2004-06-30,79.32
314,2004-07-01,79.31
315,2004-07-02,79.3
316,2004-07-03,79.29
317,2004-07-04,79.29
318,2004-07-05,79.28
319,2004-07-06,79.26
320,2004-07-07,79.26
321,2004-07-08,79.25
322,2004-07-09,79.24
323,2004-07-10,79.24
324,2004-07-11,79.23
325,2004-07-12,79.22
326,2004-07-13,79.22
327,2004-07-14,79.21
328,2004-07-15,79.19
329,2004-07-16,79.19
330,2004-07-17,79.19
331,2004-07-18,79.18
332,2004-07-19,79.17
333,2004-07-20,79.17
334,2004-07-21,79.15
335,2004-07-22,79.15
336,2004-07-23,79.15
337,2004-07-24,79.13
338,2004-07-25,79.13
339,2004-07-26,79.12
340,2004-07-27,79.12
341,2004-07-28,79.11
342,2004-07-29,79.1
343,2004-07-30,79.1
344,2004-07-31,79.08
345,2004-08-01,79.07
346,2004-08-02,79.07
347,2004-08-03,79.07
348,2004-08-04,79.06
349,2004-08-05,79.04
350,2004-08-06,79.03
351,2004-08-07,79.01
352,2004-08-08,79.01
353,2004-08-09,79.01
354,2004-08-10,79.0
355,2004-08-11,79.0
356,2004-08-12,78.99
357,2004-08-13,78.98
358,2004-08-14,78.97
359,2004-08-15,78.97
360,2004-08-16,78.96
361,2004-08-17,78.96
362,2004-08-18,78.96
363,2004-08-19,78.95
364,2004-08-20,78.93
365,2004-08-21,78.93
366,2004-08-22,78.92
367,2004-08-23,78.92
368,2004-08-24,78.92
369,2004-08-25,78.9
370,2004-08-26,78.9
371,2004-08-27,78.89
372,2004-08-28,78.88
373,2004-08-29,78.87
374,2004-08-30,78.86
375,2004-08-31,78.85
376,2004-09-01,78.84
377,2004-09-02,78.83
378,2004-09-03,78.82
379,2004-09-04,78.81
380,2004-09-05,78.79
381,2004-09-06,78.79
382,2004-09-07,78.79
383,2004-09-08,78.77
384,2004-09-09,78.76
385,2004-09-10,78.76
386,2004-09-11,78.76
387,2004-09-12,78.75
388,2004-09-13,78.74
389,2004-09-14,78.74
390,2004-09-15,78.74
391,2004-09-16,78.72
392,2004-09-17,78.71
393,2004-09-18,78.7
394,2004-09-19,78.7
395,2004-09-20,78.69
396,2004-09-21,78.68
397,2004-09-22,78.67
398,2004-09-23,78.67
399,2004-09-24,78.66
400,2004-09-25,78.65
401,2004-09-26,78.65
402,2004-09-27,78.63
403,2004-09-28,78.63
404,2004-09-29,78.62
405,2004-09-30,78.62
406,2004-10-01,78.61
407,2004-10-02,78.61
408,2004-10-03,78.6
409,2004-10-04,78.59
410,2004-10-05,78.59
411,2004-10-06,78.59
412,2004-10-07,78.58
413,2004-10-08,78.58
414,2004-10-09,78.58
415,2004-10-10,78.58
416,2004-10-11,78.57
417,2004-10-12,78.57
418,2004-10-13,78.56
419,2004-10-14,78.56
420,2004-10-15,78.56
421,2004-10-16,78.56
422,2004-10-17,78.56
423,2004-10-18,78.56
424,2004-10-19,78.54
425,2004-10-20,78.54
426,2004-10-21,78.54
427,2004-10-22,78.52
428,2004-10-23,78.52
429,2004-10-24,78.51
430,2004-10-25,78.51
431,2004-10-26,78.5
432,2004-10-27,78.49
433,2004-10-28,78.49
434,2004-10-29,78.49
435,2004-10-30,78.49
436,2004-10-31,78.47
437,2004-11-01,78.47
438,2004-11-02,78.46
439,2004-11-03,78.45
440,2004-11-04,78.44
441,2004-11-05,78.44
442,2004-11-06,78.43
443,2004-11-07,78.42
444,2004-11-08,78.42
445,2004-11-09,78.42
446,2004-11-10,78.42
447,2004-11-11,78.42
448,2004-11-12,78.41
449,2004-11-13,78.41
450,2004-11-14,78.4
451,2004-11-15,78.4
452,2004-11-16,78.4
453,2004-11-17,78.39
454,2004-11-18,78.39
455,2004-11-19,78.39
456,2004-11-20,78.39
457,2004-11-21,78.39
458,2004-11-22,78.39
459,2004-11-23,78.39
460,2004-11-24,78.39
461,2004-11-25,78.39
462,2004-11-26,78.39
463,2004-11-27,78.39
464,2004-11-28,78.39
465,2004-11-30,79.16
466,2004-12-01,79.16
467,2004-12-02,79.17
468,2004-12-03,79.17
469,2004-12-04,79.15
470,2004-12-05,79.15
471,2004-12-06,79.15
472,2004-12-07,79.15
473,2004-12-08,79.15
474,2004-12-09,79.15
475,2004-12-10,79.15
476,2004-12-11,79.15
477,2004-12-12,79.15
478,2004-12-13,79.15
479,2004-12-14,79.15
480,2004-12-15,79.15
481,2004-12-16,79.17
482,2004-12-17,79.18
483,2004-12-18,79.2
484,2004-12-19,79.2
485,2004-12-20,79.2
486,2004-12-21,79.21
487,2004-12-22,79.21
488,2004-12-23,79.21
489,2004-12-24,79.21
490,2004-12-25,79.22
491,2004-12-26,79.22
492,2004-12-27,79.22
493,2004-12-28,79.22
494,2004-12-29,79.22
495,2004-12-30,79.21
496,2004-12-31,79.21
497,2005-01-01,79.21
498,2005-01-02,79.21
499,2005-01-03,79.21
500,2005-01-04,79.21
501,2005-01-05,79.22
502,2005-01-06,79.22
503,2005-01-07,79.22
504,2005-01-08,79.22
505,2005-01-09,79.22
506,2005-01-10,79.22
507,2005-01-11,79.22
508,2005-01-12,79.23
509,2005-01-13,79.23
510,2005-01-14,79.23
511,2005-01-15,79.23
512,2005-01-16,79.23
513,2005-01-17,79.22
514,2005-01-18,79.22
515,2005-01-19,79.23
516,2005-01-20,79.23
517,2005-01-21,79.24
518,2005-01-22,79.24
519,2005-01-23,79.24
520,2005-01-24,79.24
521,2005-01-25,79.25
522,2005-01-26,79.25
523,2005-01-27,79.26
524,2005-01-28,79.26
525,2005-01-29,79.26
526,2005-01-30,79.26
527,2005-01-31,79.26
528,2005-02-01,79.26
529,2005-02-02,79.26
530,2005-02-03,79.27
531,2005-02-04,79.28
532,2005-02-05,79.29
533,2005-02-06,79.3
534,2005-02-07,79.31
535,2005-02-08,79.32
536,2005-02-09,79.32
537,2005-02-10,79.33
538,2005-02-11,79.35
539,2005-02-12,79.36
540,2005-02-13,79.37
541,2005-02-14,79.38
542,2005-02-15,79.39
543,2005-02-16,79.4
544,2005-02-17,79.41
545,2005-02-18,79.43
546,2005-02-19,79.45
547,2005-02-20,79.48
548,2005-02-21,79.5
549,2005-02-22,79.53
550,2005-02-23,79.54
551,2005-02-24,79.57
552,2005-02-25,79.6
553,2005-02-26,79.62
554,2005-02-27,79.63
555,2005-02-28,79.64
556,2005-03-01,79.67
557,2005-03-02,79.71
558,2005-03-03,79.73
559,2005-03-04,79.74
560,2005-03-05,79.78
561,2005-03-06,79.78
562,2005-03-07,79.79
563,2005-03-08,79.81
564,2005-03-09,79.82
565,2005-03-10,79.84
566,2005-03-11,79.88
567,2005-03-12,79.88
568,2005-03-13,79.89
569,2005-03-14,79.9
570,2005-03-15,79.91
571,2005-03-16,79.92
572,2005-03-17,79.93
573,2005-03-18,79.94
574,2005-03-19,79.96
575,2005-03-20,79.99
576,2005-03-22,80.05
577,2005-03-23,80.06
578,2005-03-24,80.09
579,2005-03-25,80.11
580,2005-03-26,80.15
581,2005-03-27,80.18
582,2005-03-28,80.2
583,2005-03-29,80.22
584,2005-03-30,80.24
585,2005-03-31,80.24
586,2005-04-01,80.26
587,2005-04-02,80.3
588,2005-04-03,80.32
589,2005-04-04,80.34
590,2005-04-05,80.36
591,2005-04-06,80.4
592,2005-04-07,80.45
593,2005-04-08,80.47
594,2005-04-09,80.48
595,2005-04-10,80.49
596,2005-04-11,80.51
597,2005-04-12,80.53
598,2005-04-13,80.57
599,2005-04-14,80.6
600,2005-04-15,80.64
601,2005-04-16,80.65
602,2005-04-17,80.68
603,2005-04-18,80.71
604,2005-04-19,80.73
605,2005-04-20,80.74
606,2005-04-21,80.76
607,2005-04-22,80.77
608,2005-04-23,80.79
609,2005-04-24,80.82
610,2005-04-25,80.83
611,2005-04-26,80.85
612,2005-04-27,80.85
613,2005-04-28,80.85
614,2005-04-29,80.87
615,2005-04-30,80.89
616,2005-05-01,80.9
617,2005-05-02,80.92
618,2005-05-03,80.93
619,2005-05-04,80.94
620,2005-05-05,80.94
621,2005-05-06,80.96
622,2005-05-07,80.97
623,2005-05-08,80.98
624,2005-05-09,80.98
625,2005-05-10,80.99
626,2005-05-11,80.99
627,2005-05-12,81.0
628,2005-05-13,81.01
629,2005-05-14,81.02
630,2005-05-15,81.03
631,2005-05-16,81.03
632,2005-05-17,81.03
633,2005-05-18,81.03
634,2005-05-19,81.04
635,2005-05-20,81.04
636,2005-05-21,81.06
637,2005-05-22,81.06
638,2005-05-23,81.06
639,2005-05-24,81.06
640,2005-05-25,81.06
641,2005-05-26,81.06
642,2005-05-27,81.06
643,2005-05-28,81.06
644,2005-05-29,81.05
645,2005-05-30,81.05
646,2005-05-31,81.04
647,2005-06-01,81.04
648,2005-06-02,81.04
649,2005-06-03,81.04
650,2005-06-04,81.04
651,2005-06-05,81.04
652,2005-06-06,81.03
653,2005-06-07,81.01
654,2005-06-08,80.99
655,2005-06-09,80.98
656,2005-06-10,80.98
657,2005-06-11,80.98
658,2005-06-12,80.98
659,2005-06-13,80.98
660,2005-06-14,80.98
661,2005-06-15,80.97
662,2005-06-16,81.03
663,2005-06-17,81.07
664,2005-06-18,81.06
665,2005-06-19,81.06
666,2005-06-20,81.04
667,2005-06-21,81.03
668,2005-06-22,81.02
669,2005-06-23,81.01
670,2005-06-24,81.0
671,2005-06-25,80.99
672,2005-06-26,80.96
673,2005-06-27,80.96
674,2005-06-29,80.94
675,2005-06-30,80.93
676,2005-07-01,80.9
677,2005-07-02,80.89
678,2005-07-03,80.88
679,2005-07-04,80.87
680,2005-07-05,80.9
681,2005-07-06,80.94
682,2005-07-07,80.93
683,2005-07-08,80.9
684,2005-07-09,80.88
685,2005-07-10,80.85
686,2005-07-11,80.82
687,2005-07-12,80.79
688,2005-07-13,80.78
689,2005-07-14,80.76
690,2005-07-15,80.75
691,2005-07-16,80.74
692,2005-07-17,80.72
693,2005-07-18,80.71
694,2005-07-19,80.68
695,2005-07-20,80.67
696,2005-07-21,80.65
697,2005-07-22,80.63
698,2005-07-23,80.62
699,2005-07-24,80.61
700,2005-07-25,80.6
701,2005-07-26,80.57
702,2005-07-27,80.56
703,2005-07-28,80.54
704,2005-07-29,80.51
705,2005-07-30,80.49
706,2005-07-31,80.47
707,2005-08-01,80.45
708,2005-08-02,80.42
709,2005-08-03,80.4
710,2005-08-04,80.38
711,2005-08-05,80.35
712,2005-08-06,80.34
713,2005-08-07,80.32
714,2005-08-08,80.31
715,2005-08-09,80.29
716,2005-08-10,80.28
717,2005-08-11,80.26
718,2005-08-12,80.24
719,2005-08-13,80.23
720,2005-08-14,80.21
721,2005-08-15,80.18
722,2005-08-16,80.18
723,2005-08-17,80.17
724,2005-08-18,80.16
725,2005-08-19,80.15
726,2005-08-20,80.13
727,2005-08-21,80.12
728,2005-08-22,80.1
729,2005-08-23,80.1
730,2005-08-24,80.09
731,2005-08-25,80.09
732,2005-08-26,80.07
733,2005-08-27,80.07
734,2005-08-28,80.05
735,2005-08-29,80.04
736,2005-08-30,80.03
737,2005-08-31,80.02
738,2005-09-01,80.01
739,2005-09-02,80.01
740,2005-09-03,80.0
741,2005-09-04,79.99
742,2005-09-05,79.98
743,2005-09-06,79.96
744,2005-09-07,79.95
745,2005-09-08,79.93
746,2005-09-09,79.93
747,2005-09-10,79.9
748,2005-09-11,79.89
749,2005-09-12,79.87
750,2005-09-13,79.85
751,2005-09-14,79.82
752,2005-09-15,79.81
753,2005-09-16,79.79
754,2005-09-17,79.78
755,2005-09-18,79.76
756,2005-09-19,79.74
757,2005-09-20,79.72
758,2005-09-21,79.71
759,2005-09-22,79.69
