date,value
2002-10-12,3.55
2002-12-11,3.56
2003-03-12,2.04
2003-06-03,2.95
2003-09-09,3.0
2003-12-02,3.18
2004-03-23,3.72
2004-06-10,2.74
2004-11-26,3.65
2004-12-06,4.36
2005-03-21,4.03
2005-06-27,1.98
2005-09-15,3.52
2005-12-09,3.25
2006-03-14,3.21
2006-06-22,2.95
2006-09-20,8.38
2006-12-11,3.39
2007-01-30,2.93
2007-02-21,2.97
2007-03-28,3.03
2007-04-25,2.81
2007-05-23,4.82
2007-06-19,4.68
2007-07-25,2.67
2007-10-30,2.53
2007-11-22,1.57
2007-12-11,4.17
2008-01-29,2.37
2008-02-27,2.33
2008-03-25,2.98
2008-04-30,3.29
2008-05-30,3.08
2008-06-19,3.18
2008-08-01,1.51
2008-08-27,1.68
2008-09-25,2.08
2008-10-24,2.56
2008-11-20,1.68
2008-12-15,1.09
2009-02-19,0.62
2009-03-23,1.08
2009-04-22,1.76
2009-05-25,2.42
2009-07-23,0.32
2009-08-17,1.07
2009-09-21,0.48
2009-10-26,1.78
2009-11-23,2.26
2009-12-21,2.4
2010-01-25,2.0
2010-02-24,2.0
2010-03-24,2.78
2010-05-18,1.51
2010-06-28,1.56
2010-07-23,0.65
2010-08-16,0.27
2010-09-28,1.63
2010-10-16,1.74
2010-10-17,1.67
2010-10-18,1.78
2010-10-19,1.86
2010-10-20,1.77
2010-10-21,1.8
2010-10-22,1.84
2010-10-23,1.71
2010-10-24,1.74
2010-10-25,1.96
2010-10-26,1.9
2010-10-27,1.89
2010-10-28,1.84
2010-10-29,2.16
2010-10-30,2.04
2010-10-31,2.15
2010-11-01,1.92
2010-11-02,1.87
2010-11-03,1.93
2010-11-04,1.95
2010-11-05,1.95
2010-11-06,1.85
2010-11-07,2.0
2010-11-08,2.25
2010-11-09,-2.83
2010-11-10,-1.2
2010-11-11,2.44
2010-11-12,2.45
2010-11-13,2.63
2010-11-14,2.37
2010-11-15,2.44
2010-11-16,2.49
2010-11-17,2.46
2010-11-18,2.91
2010-11-19,2.7
2010-11-20,2.31
2010-11-21,2.44
2010-11-22,2.65
2010-11-23,2.51
2010-11-24,2.46
2010-11-25,2.51
2010-11-26,2.59
2010-11-27,2.59
2010-11-28,2.59
2010-11-29,2.58
2010-11-30,2.62
2010-12-01,2.82
2010-12-02,2.66
2010-12-03,2.75
2010-12-04,2.69
2010-12-05,2.66
2010-12-06,2.65
2010-12-07,2.68
2010-12-08,2.49
2010-12-09,2.47
2010-12-10,2.27
2010-12-11,2.25
2010-12-12,2.5
2010-12-13,2.73
2010-12-14,2.38
2010-12-15,1.95
2010-12-16,1.85
2010-12-17,1.51
2010-12-18,2.22
2010-12-19,2.37
2010-12-20,2.59
2010-12-21,2.47
2010-12-22,2.61
2010-12-23,2.63
2010-12-24,2.62
2010-12-25,2.56
2010-12-26,2.54
2010-12-27,2.47
2010-12-28,2.62
2010-12-29,2.45
2010-12-30,2.56
2010-12-31,2.55
2011-01-01,2.52
2011-01-02,2.45
2011-01-03,2.73
2011-01-04,2.65
2011-01-05,2.72
2011-01-06,2.78
2011-01-07,2.8
2011-01-08,2.78
2011-01-09,3.03
2011-01-10,2.72
2011-01-11,2.76
2011-01-12,2.75
2011-01-13,2.82
2011-01-14,2.79
2011-01-15,2.66
2011-01-16,2.94
2011-01-17,2.7
2011-01-18,2.73
2011-01-19,2.79
2011-01-20,2.81
2011-01-21,2.8
2011-01-22,2.78
2011-01-23,2.67
2011-01-24,2.75
2011-01-25,1.87
2011-01-26,0.78
2011-01-27,1.19
2011-01-28,2.07
2011-01-29,2.84
2011-01-30,3.0
2011-01-31,2.84
2011-02-01,2.8
2011-02-02,2.78
2011-02-03,2.68
2011-02-04,2.58
2011-02-05,2.63
2011-02-06,2.85
2011-02-07,2.86
2011-02-08,2.75
2011-02-09,2.84
2011-02-10,2.83
2011-02-11,2.68
2011-02-12,2.3
2011-02-13,2.84
2011-02-14,2.88
2011-02-15,2.97
2011-02-16,3.2
2011-02-17,3.14
2011-02-18,2.78
2011-02-19,2.88
2011-02-20,2.75
2011-02-21,3.11
2011-02-22,2.93
2011-02-23,2.92
2011-02-24,2.9
2011-02-25,2.68
2011-02-26,3.17
2011-02-27,2.71
2011-02-28,2.7
2011-03-01,2.79
2011-03-02,2.76
2011-03-03,2.8
2011-03-04,2.83
2011-03-05,2.84
2011-03-06,2.06
2011-03-07,2.19
2011-03-08,2.64
2011-03-09,2.6
2011-03-10,2.41
2011-03-11,2.65
2011-03-12,2.71
2011-03-13,2.94
2011-03-14,2.78
2011-03-15,2.78
2011-03-16,2.84
2011-03-17,2.9
2011-03-18,2.74
2011-03-19,2.76
2011-03-20,2.95
2011-03-21,3.03
2011-03-22,2.62
2011-03-23,3.07
2011-03-24,2.76
2011-03-25,2.33
2011-03-26,2.36
2011-03-27,2.73
2011-03-28,2.75
2011-03-29,2.44
2011-03-30,2.81
2011-03-31,2.81
2011-04-01,2.8
2011-04-02,2.75
2011-04-03,2.73
2011-04-04,2.94
2011-04-05,2.54
2011-04-06,2.44
2011-04-07,2.5
2011-04-08,2.42
2011-04-09,2.22
2011-04-10,2.32
2011-04-11,2.58
2011-04-12,2.87
2011-04-13,3.09
2011-04-14,2.3
2011-04-15,2.35
2011-04-16,2.3
2011-04-17,2.09
2011-04-18,2.26
2011-04-19,2.16
2011-04-20,2.13
2011-04-21,2.21
2011-04-22,2.2
2011-04-23,2.03
2011-04-24,2.1
2011-04-25,2.26
2011-04-26,2.17
2011-04-27,2.03
2011-04-28,2.08
2011-04-29,2.15
2011-04-30,2.08
2011-05-01,1.96
2011-05-02,2.15
2011-05-03,2.01
2011-05-04,1.89
2011-05-05,1.29
2011-05-06,1.45
2011-05-07,1.64
2011-05-08,1.74
2011-05-09,1.41
2011-05-10,1.23
2011-05-11,1.09
2011-05-12,1.17
2011-05-13,1.58
2011-05-14,1.69
2011-05-15,1.73
2011-05-16,2.2
2011-05-17,1.64
2011-05-18,1.48
2011-05-19,1.06
2011-05-20,1.03
2011-05-21,1.22
2011-05-22,1.9
2011-05-23,0.81
2011-05-24,0.71
2011-05-25,0.73
2011-05-26,0.3
2011-05-27,0.57
2011-05-28,0.72
2011-05-29,0.9
2011-05-30,1.0
2011-05-31,0.98
2011-06-01,0.9
2011-06-02,0.91
2011-06-03,1.24
2011-06-04,1.2
2011-06-05,1.65
2011-06-06,1.6
2011-06-07,2.2
2011-06-08,1.95
2011-06-09,1.87
2011-06-10,1.99
2011-06-11,1.93
2011-06-12,1.93
2011-06-13,2.04
2011-06-14,1.96
2011-06-15,1.76
2011-06-16,1.72
2011-06-17,1.8
2011-06-18,1.85
2011-06-19,1.8
2011-06-20,2.04
2011-06-21,1.49
2011-06-22,1.56
2011-06-23,0.91
2011-06-24,0.59
2011-06-25,0.53
2011-06-26,0.47
2011-06-27,-0.17
2011-06-28,-0.36
2011-06-29,0.41
2011-06-30,0.49
2011-07-01,0.38
2011-07-02,0.35
2011-07-03,0.52
2011-07-04,0.53
2011-07-05,0.23
2011-07-06,0.31
2011-07-07,0.25
2011-07-08,0.27
2011-07-09,-0.1
2011-07-10,0.56
2011-07-11,0.74
2011-07-12,0.57
2011-07-13,1.01
2011-07-14,0.87
2011-07-15,1.05
2011-07-16,1.12
2011-07-17,1.32
2011-07-18,1.31
2011-07-19,1.39
2011-07-20,1.32
2011-07-21,1.3
2011-07-22,1.25
2011-07-23,1.21
2011-07-24,1.29
2011-07-25,1.46
2011-07-26,1.38
2011-07-27,1.18
2011-07-28,1.32
2011-07-29,1.19
2011-07-30,1.11
2011-07-31,1.12
2011-08-01,1.07
2011-08-02,0.75
2011-08-03,0.88
2011-08-04,0.95
2011-08-05,0.99
2011-08-06,1.02
2011-08-07,1.09
2011-08-08,0.98
2011-08-09,0.58
2011-08-10,0.63
2011-08-11,0.37
2011-08-12,-1.13
2011-08-13,-0.24
2011-08-14,0.15
2011-08-15,0.03
2011-08-16,0.25
2011-08-17,-0.01
2011-08-18,0.08
2011-08-19,0.1
2011-08-20,-0.24
2011-08-21,-0.87
2011-08-22,-0.55
2011-08-23,-0.36
2011-08-24,-0.12
2011-08-25,0.19
2011-08-26,0.26
2011-08-27,0.58
2011-08-28,0.55
2011-08-29,0.85
2011-08-30,0.77
2011-08-31,0.71
2011-09-01,0.72
2011-09-02,0.86
2011-09-03,0.98
2011-09-04,0.99
2011-09-05,1.09
2011-09-06,0.94
2011-09-07,1.0
2011-09-08,0.84
2011-09-09,0.83
2011-09-10,0.88
2011-09-11,1.0
2011-09-12,0.95
2011-09-13,0.83
2011-09-14,0.81
2011-09-15,0.9
2011-09-16,0.45
2011-09-17,1.14
2011-09-18,1.32
2011-09-19,1.07
2011-09-20,1.13
2011-09-21,1.14
2011-09-22,1.03
2011-09-23,1.03
2011-09-24,1.1
2011-09-25,1.44
2011-09-26,1.13
2011-09-27,1.34
2011-09-28,1.03
2011-09-29,1.49
2011-09-30,1.27
2011-10-01,0.49
2011-10-02,0.81
2011-10-03,0.93
2011-10-04,0.93
2011-10-05,1.05
2011-10-06,1.14
2011-10-07,1.02
2011-10-08,0.95
2011-10-09,1.06
2011-10-10,1.06
2011-10-11,0.89
2011-10-12,1.0
2011-10-13,0.99
2011-10-14,0.96
2011-10-15,1.07
2011-10-16,1.04
2011-10-17,1.14
2011-10-18,1.18
2011-10-19,1.32
2011-10-20,1.28
2011-10-21,1.25
2011-10-22,1.34
2011-10-23,1.51
2011-10-24,1.61
2011-10-25,1.74
2011-10-26,1.55
2011-10-27,1.96
2011-10-28,1.21
2011-10-29,1.7
2011-10-30,1.41
2011-10-31,1.58
2011-11-01,1.5
2011-11-02,1.75
2011-11-03,2.1
2011-11-04,1.78
2011-11-05,1.76
2011-11-06,2.13
2011-11-07,1.71
2011-11-08,1.84
2011-11-09,1.69
2011-11-10,1.81
2011-11-11,1.77
2011-11-12,2.13
2011-11-13,1.75
2011-11-14,2.01
2011-11-15,1.79
2011-11-16,1.9
2011-11-17,1.85
2011-11-18,1.96
2011-11-19,1.91
2011-11-20,2.23
2011-11-21,1.86
2011-11-22,2.03
2011-11-23,1.9
2011-11-24,2.2
2011-11-25,2.12
2011-11-26,2.32
2011-11-27,2.16
2011-11-28,1.75
2011-11-29,1.76
2011-11-30,1.82
2011-12-01,2.09
2011-12-02,2.34
2011-12-03,2.42
2011-12-04,2.47
2011-12-05,2.56
2011-12-06,2.52
2011-12-07,2.12
2011-12-08,2.22
2011-12-09,2.19
2011-12-10,2.24
2011-12-11,2.33
2011-12-12,2.49
2011-12-13,2.22
2011-12-14,2.46
2011-12-15,2.21
2011-12-16,2.59
2011-12-17,2.28
2011-12-18,2.42
2011-12-19,2.26
2011-12-20,2.37
2011-12-21,2.11
2011-12-22,2.39
2011-12-23,1.71
2011-12-24,1.76
2011-12-25,2.1
2011-12-26,2.26
2011-12-27,2.39
2011-12-28,2.51
2011-12-29,2.28
2011-12-30,2.35
2011-12-31,2.53
2012-01-01,2.38
2012-01-02,2.62
2012-01-03,2.55
2012-01-04,2.58
2012-01-05,2.7
2012-01-06,2.39
2012-01-07,2.4
2012-01-08,2.5
2012-01-09,2.83
2012-01-10,3.09
2012-01-11,3.18
2012-01-12,3.24
2012-01-13,3.27
2012-01-14,2.78
2012-01-15,2.87
2012-01-16,2.96
2012-01-17,2.71
2012-01-18,2.78
2012-01-19,2.64
2012-01-20,2.56
2012-01-21,2.73
2012-01-22,2.56
2012-01-23,2.77
2012-01-24,2.64
2012-01-25,2.45
2012-01-26,2.26
2012-01-27,2.12
2012-01-28,2.17
2012-01-29,2.1
2012-01-30,2.22
2012-01-31,2.23
2012-02-01,2.29
2012-02-02,2.43
2012-02-03,1.87
2012-02-04,1.97
2012-02-05,1.98
2012-02-06,1.72
2012-02-07,1.96
2012-02-08,1.86
2012-02-09,1.55
2012-02-10,1.57
2012-02-11,1.77
2012-02-12,0.93
2012-02-13,1.82
2012-02-14,0.79
2012-02-15,0.26
2012-02-16,0.43
2012-02-17,0.54
2012-02-18,0.76
2012-02-19,0.82
2012-02-20,1.05
2012-02-21,0.98
2012-02-22,0.99
2012-02-23,1.57
2012-02-24,1.19
2012-02-25,1.28
2012-02-26,0.96
2012-02-27,1.04
2012-02-28,0.98
2012-02-29,1.43
2012-03-01,1.07
2012-03-02,1.07
2012-03-03,1.07
2012-03-04,1.38
2012-03-05,1.45
2012-03-06,1.34
2012-03-07,1.4
2012-03-08,1.26
2012-03-09,1.46
2012-03-10,1.42
2012-03-11,1.44
2012-03-12,1.53
2012-03-13,1.37
2012-03-14,1.44
2012-03-15,1.45
2012-03-16,1.36
2012-03-17,1.43
2012-03-18,1.32
2012-03-19,1.56
2012-03-20,1.44
2012-03-21,1.57
2012-03-22,1.64
2012-03-23,1.58
2012-03-24,1.48
2012-03-25,1.3
2012-03-26,1.35
2012-03-27,1.49
2012-03-28,1.25
2012-03-29,1.21
2012-03-30,1.15
2012-03-31,1.07
2012-04-01,1.13
2012-04-02,1.12
2012-04-03,1.24
2012-04-04,1.4
2012-04-05,1.37
2012-04-06,1.49
2012-04-07,1.37
2012-04-08,1.24
2012-04-09,1.33
2012-04-10,1.44
2012-04-11,1.56
2012-04-12,1.39
2012-04-13,1.31
2012-04-14,1.51
2012-04-15,1.46
2012-04-16,1.23
2012-04-17,1.16
2012-04-18,-0.01
2012-04-19,1.22
2012-04-20,1.35
2012-04-21,1.55
2012-04-22,1.56
2012-04-23,1.41
2012-04-24,1.61
2012-04-25,1.57
2012-04-26,1.6
2012-04-27,1.62
2012-04-28,1.6
2012-04-29,1.72
2012-04-30,1.83
2012-05-01,1.74
2012-05-02,1.59
2012-05-03,1.65
2012-05-04,1.67
2012-05-05,1.69
2012-05-06,1.57
2012-05-07,1.47
2012-05-08,1.58
2012-05-09,1.49
2012-05-10,1.38
2012-05-11,1.16
2012-05-12,0.87
2012-05-13,0.8
2012-05-14,1.21
2012-05-15,1.04
2012-05-16,0.98
2012-05-17,1.0
2012-05-18,1.08
2012-05-19,1.3
2012-05-20,1.44
2012-05-21,1.47
2012-05-22,1.38
2012-05-23,1.28
2012-05-24,1.15
