,date,value
0,1990-01-27,29.48
1,1990-02-27,37.53
2,1990-03-26,37.44
3,1990-04-21,37.39
4,1990-05-21,31.65
5,1990-06-19,31.01
6,1990-07-10,30.65
7,1990-08-08,29.96
8,1990-09-14,29.79
9,1990-10-09,28.77
10,1990-11-22,28.74
11,1990-12-14,30.41
12,1991-01-14,30.63
13,1991-02-15,35.14
14,1991-03-13,33.04
15,1991-04-09,32.94
16,1991-05-07,32.85
17,1991-06-04,32.64
18,1991-07-05,32.66
19,1991-08-20,29.96
20,1991-09-19,29.24
21,1991-10-21,29.41
22,1991-11-11,33.21
23,1991-12-21,33.13
24,1992-01-23,31.84
25,1992-02-06,31.46
26,1992-03-09,30.91
27,1992-04-10,30.88
28,1992-05-14,30.64
29,1992-06-05,31.1
30,1992-07-09,31.06
31,1992-08-18,29.95
32,1992-09-10,29.96
33,1992-10-15,31.36
34,1992-11-23,31.49
35,1992-12-16,40.91
36,1993-01-15,37.52
37,1993-02-04,37.11
38,1993-03-12,33.21
39,1993-04-09,32.27
40,1993-05-07,31.85
41,1993-06-02,31.46
42,1993-07-09,33.19
43,1993-08-19,31.31
44,1993-09-22,31.14
45,1993-10-14,31.29
46,1993-11-15,32.95
47,1993-12-07,31.79
48,1994-01-12,41.43
49,1994-02-10,38.45
50,1994-03-10,37.02
51,1994-04-08,35.48
52,1994-05-06,36.97
53,1994-06-07,37.3
54,1994-06-30,37.24
55,1994-08-05,33.62
56,1994-09-09,33.06
57,1994-10-07,32.94
58,1994-11-10,35.34
59,1994-12-07,37.89
60,1995-01-18,40.56
61,1995-02-09,45.16
62,1995-03-14,41.61
63,1995-04-12,36.35
64,1995-05-05,34.84
65,1995-06-08,33.49
66,1995-07-07,32.37
67,1995-08-24,31.46
68,1995-09-13,31.06
69,1995-10-03,30.72
70,1995-11-07,29.88
71,1995-12-05,29.47
72,1996-01-05,29.77
73,1996-02-12,28.89
74,1996-03-07,30.95
75,1996-04-04,30.04
76,1996-05-10,29.46
77,1996-06-06,29.6
78,1996-07-03,28.8
79,1996-08-28,28.53
80,1996-09-24,28.53
81,1996-10-23,28.54
82,1996-11-27,29.68
83,1996-12-17,30.04
84,1997-01-22,29.21
85,1997-02-20,30.12
86,1997-03-20,32.79
87,1997-04-22,30.59
88,1997-05-21,30.71
89,1997-06-22,31.98
90,1997-07-22,32.87
91,1997-08-28,31.03
92,1997-09-26,30.38
93,1997-10-31,30.32
94,1997-11-21,29.99
95,1997-12-22,36.11
96,1998-01-19,39.23
97,1998-02-18,36.06
98,1998-03-25,32.74
99,1998-04-23,36.27
100,1998-05-14,36.07
101,1998-06-18,32.74
102,1998-07-22,31.71
103,1998-09-23,30.77
104,1998-10-21,29.91
105,1998-11-24,31.95
106,1998-12-20,31.52
107,1999-01-29,38.89
108,1999-02-10,38.11
109,1999-03-25,38.64
110,1999-04-27,34.34
111,1999-05-18,33.19
112,1999-06-15,32.37
113,1999-07-08,31.59
114,1999-09-03,31.31
115,1999-09-30,31.06
116,1999-10-29,31.04
117,1999-11-25,32.19
118,1999-12-16,33.46
119,2000-01-11,42.14
120,2000-02-15,35.73
121,2000-03-20,35.98
122,2000-04-19,37.99
123,2000-05-22,36.14
124,2000-06-21,33.54
125,2000-07-13,33.35
126,2000-08-10,32.19
127,2000-09-19,31.29
128,2000-10-13,31.78
129,2000-11-20,41.19
130,2000-12-13,39.13
131,2001-01-17,43.97
132,2001-02-13,42.86
133,2001-03-08,37.81
134,2001-04-26,38.77
135,2001-05-17,37.09
136,2001-06-18,34.47
137,2001-07-06,32.95
138,2001-08-23,31.81
139,2001-09-19,31.24
140,2001-10-12,31.29
141,2001-11-21,30.7
142,2001-12-11,30.47
143,2002-01-16,32.59
144,2002-02-18,36.02
145,2002-03-12,38.15
146,2002-04-10,38.02
147,2002-05-23,32.69
148,2002-06-10,32.54
149,2002-07-04,31.59
150,2002-08-22,30.9
151,2002-09-17,31.21
152,2002-10-10,30.04
153,2002-11-18,33.87
154,2002-12-04,33.14
155,2003-01-07,38.94
156,2003-02-12,38.31
157,2003-03-24,34.8
158,2003-04-10,33.51
159,2003-05-20,32.23
160,2003-06-12,33.49
161,2003-07-02,31.86
162,2003-08-26,30.69
163,2003-09-08,30.44
164,2003-10-16,29.71
165,2003-11-13,30.62
166,2003-12-18,30.46
167,2004-01-19,36.57
168,2004-02-04,39.1
169,2004-03-01,35.73
170,2004-04-01,33.06
171,2004-05-13,33.01
172,2004-06-10,31.69
173,2004-07-12,31.13
174,2004-09-06,30.38
175,2004-10-08,29.16
176,2004-11-10,29.89
177,2004-11-29,29.47
178,2005-01-04,31.18
179,2005-02-02,32.79
180,2005-03-11,36.32
181,2005-03-31,35.81
182,2005-04-28,32.88
183,2005-06-02,31.96
184,2005-06-30,31.3
185,2005-07-29,30.87
186,2005-09-07,30.36
187,2005-09-30,29.9
188,2005-11-03,30.55
189,2005-11-30,29.7
190,2006-01-05,32.85
191,2006-02-02,34.02
192,2006-02-28,36.14
193,2006-03-27,37.05
194,2006-04-27,33.41
195,2006-05-31,32.27
196,2006-06-28,33.85
197,2006-07-27,31.49
198,2006-09-06,30.56
199,2006-09-26,30.69
200,2006-10-18,30.18
201,2006-11-28,30.51
202,2006-12-19,38.23
203,2007-01-26,36.1
204,2007-02-27,39.32
205,2007-03-27,37.91
206,2007-04-25,35.98
207,2007-05-24,33.2
208,2007-07-03,32.86
209,2007-07-31,33.62
210,2007-08-28,33.53
211,2007-09-27,32.27
212,2007-10-26,35.14
213,2007-11-22,32.81
214,2008-01-02,37.27
215,2008-01-03,37.19
216,2008-01-04,37.02
217,2008-01-05,36.85
218,2008-01-06,36.68
219,2008-01-07,36.44
220,2008-01-08,36.38
221,2008-01-09,36.27
222,2008-01-10,36.14
223,2008-01-11,36.05
224,2008-01-12,35.95
225,2008-01-13,35.89
226,2008-01-14,35.86
227,2008-01-15,35.85
228,2008-01-16,35.9
229,2008-01-17,36.02
230,2008-01-18,36.39
231,2008-01-19,36.88
232,2008-01-20,37.35
233,2008-01-21,37.91
234,2008-01-22,38.06
235,2008-01-23,38.27
236,2008-01-24,38.49
237,2008-01-25,38.6
238,2008-01-26,38.66
239,2008-01-27,38.7
240,2008-01-28,38.68
241,2008-01-29,38.66
242,2008-01-30,38.61
243,2008-01-31,38.52
244,2008-02-01,38.49
245,2008-02-02,38.36
246,2008-02-03,38.23
247,2008-02-04,38.1
248,2008-02-05,38.06
249,2008-02-06,37.94
250,2008-02-07,37.78
251,2008-02-08,37.69
252,2008-02-09,37.6
253,2008-02-11,37.36
254,2008-02-12,37.32
255,2008-02-13,37.26
256,2008-02-14,37.2
257,2008-02-15,37.16
258,2008-02-16,37.13
259,2008-02-17,37.07
260,2008-02-18,37.02
261,2008-02-19,37.01
262,2008-02-20,36.95
263,2008-02-21,36.89
264,2008-02-22,36.81
265,2008-02-23,36.72
266,2008-02-25,36.49
267,2008-02-26,36.45
268,2008-02-27,36.35
269,2008-02-28,36.24
270,2008-02-29,36.14
271,2008-03-01,36.06
272,2008-03-03,35.85
273,2008-03-04,35.81
274,2008-03-05,35.7
275,2008-03-06,35.6
276,2008-03-07,35.49
277,2008-03-08,35.39
278,2008-03-09,35.27
279,2008-03-10,35.14
280,2008-03-11,35.1
281,2008-03-12,35.06
282,2008-03-13,35.07
283,2008-03-14,35.14
284,2008-03-15,35.19
285,2008-03-16,35.23
286,2008-03-17,35.24
287,2008-03-18,35.27
288,2008-03-19,35.35
289,2008-03-20,35.44
290,2008-03-21,35.53
291,2008-03-22,35.65
292,2008-03-23,35.76
293,2008-03-24,35.86
294,2008-03-25,35.97
295,2008-03-27,36.23
