date,value
1990-01-05,130.48
1990-01-12,128.84
1990-01-19,128.41
1990-01-26,136.44
1990-02-02,154.94
1990-02-09,151.14
1990-02-16,150.77
1990-02-23,149.92
1990-03-02,148.27
1990-03-09,143.78
1990-03-16,139.09
1990-03-23,133.53
1990-03-30,130.47
1990-04-06,129.08
1990-04-13,128.37
1990-04-20,128.07
1990-04-27,127.64
1990-05-04,127.21
1990-05-11,126.84
1990-05-18,126.54
1990-05-25,126.22
1990-06-01,126.03
1990-06-08,125.9
1990-06-15,125.74
1990-06-22,125.59
1990-06-29,125.47
1990-07-06,125.33
1990-07-13,125.26
1990-07-20,125.11
1990-07-27,124.97
1990-08-03,124.82
1990-08-10,124.72
1990-08-17,124.62
1990-08-24,124.54
1990-08-31,124.47
1990-09-07,124.38
1990-09-14,124.25
1990-09-21,124.2
1990-09-28,124.15
1990-10-05,124.44
1990-10-12,124.42
1990-10-19,124.25
1990-10-26,124.12
1990-11-02,125.54
1990-11-09,125.44
1990-11-16,125.34
1990-11-23,127.86
1990-11-30,127.28
1990-12-07,126.19
1990-12-14,126.68
1990-12-21,127.41
1990-12-28,138.39
1991-01-04,147.04
1991-01-11,156.1
1991-01-18,155.42
1991-01-25,151.42
1991-02-01,143.22
1991-02-08,135.78
1991-02-15,131.46
1991-02-22,130.31
1991-03-01,131.64
1991-03-08,129.64
1991-03-15,128.93
1991-03-22,130.89
1991-03-29,130.09
1991-04-05,128.79
1991-04-12,128.16
1991-04-19,127.67
1991-04-26,127.34
1991-05-03,127.36
1991-05-10,128.54
1991-05-17,127.33
1991-05-24,126.84
1991-05-31,126.58
1991-06-07,126.44
1991-06-14,126.32
1991-06-21,126.19
1991-06-28,126.08
1991-07-05,128.14
1991-07-12,127.24
1991-07-19,126.74
1991-07-26,126.49
1991-08-02,126.24
1991-08-09,126.0
1991-08-16,125.86
1991-08-23,125.71
1991-08-30,125.57
1991-09-06,125.43
1991-09-13,125.27
1991-09-20,125.21
1991-09-27,125.16
1991-10-04,125.09
1991-10-11,124.99
1991-10-18,124.91
1991-10-25,124.81
1991-11-01,124.75
1991-11-08,126.02
1991-11-15,135.96
1991-11-22,154.44
1991-11-29,152.04
1991-12-06,140.62
1991-12-13,131.74
1991-12-20,132.59
1991-12-27,133.64
1992-01-03,130.18
1992-01-10,129.68
1992-01-17,128.99
1992-02-14,131.0
1992-02-21,131.18
1992-02-28,129.1
1992-03-06,128.23
1992-03-13,128.3
1992-03-20,128.08
1992-03-27,131.59
1992-04-03,135.97
1992-04-10,133.59
1992-04-17,129.57
1992-04-24,128.44
1992-05-01,129.14
1992-05-08,131.49
1992-05-15,129.64
1992-05-22,128.44
1992-05-29,127.89
1992-06-05,128.21
1992-06-12,127.69
1992-06-19,127.24
1992-06-26,127.28
1992-07-03,126.74
1992-07-10,126.62
1992-07-17,126.59
1992-07-24,126.56
1992-07-31,126.32
1992-08-07,125.94
1992-08-14,126.19
1992-08-21,126.49
1992-08-28,127.6
1992-09-04,130.24
1992-09-11,130.34
1992-09-18,128.72
1992-09-25,129.24
1992-10-02,128.59
1992-10-09,129.19
1992-10-16,129.3
1992-10-23,135.97
