date,value
2007-09-18,85.41
2007-09-19,85.39
2007-09-20,85.35
2007-09-21,85.3
2007-09-22,85.28
2007-09-23,85.24
2007-09-24,85.2
2007-09-25,85.17
2007-09-26,85.14
2007-09-27,85.1
2007-09-28,85.06
2007-09-29,85.02
2007-09-30,84.97
2007-10-01,84.95
2007-10-02,84.9
2007-10-03,84.88
2007-10-04,84.83
2007-10-05,84.8
2007-10-06,84.77
2007-10-07,84.73
2007-10-08,84.7
2007-10-09,84.66
2007-10-10,84.63
2007-10-11,84.6
2007-10-12,84.56
2007-10-13,84.53
2007-10-14,84.49
2007-10-15,84.47
2007-10-22,84.27
2007-10-23,84.26
2007-10-24,84.23
2007-10-25,84.2
2007-10-26,84.17
2007-10-27,84.12
2007-10-28,84.1
2007-10-29,84.07
2007-10-30,84.05
2007-10-31,84.03
2007-11-01,83.99
2007-11-02,83.97
2007-11-03,83.94
2007-11-04,83.92
2007-11-05,83.88
2007-11-06,83.84
2007-11-07,83.82
2007-11-08,83.8
2007-11-09,83.77
2007-11-10,83.74
2007-11-11,83.7
2007-11-12,83.67
2007-11-13,83.65
2007-11-14,83.62
2007-11-15,83.58
2007-11-16,83.57
2007-11-17,83.55
2007-11-18,83.52
2007-11-19,83.49
2007-11-20,83.44
2007-11-21,83.43
2007-11-22,83.4
2007-11-23,83.37
2007-11-24,83.35
2007-11-25,83.31
2007-11-26,83.28
2007-11-27,83.26
2007-11-28,83.24
2007-11-29,83.21
2007-11-30,83.18
2007-12-01,83.15
2007-12-02,83.13
2007-12-03,83.1
2007-12-04,83.06
2007-12-05,83.03
2007-12-06,83.0
2007-12-07,82.99
2007-12-08,82.95
2007-12-09,82.94
2007-12-10,82.91
2007-12-11,82.88
2007-12-12,82.86
2007-12-13,82.82
2007-12-14,82.8
2007-12-15,82.78
2007-12-16,82.75
2007-12-17,82.73
2007-12-18,82.7
2007-12-19,82.66
2007-12-20,82.64
2007-12-21,82.62
2007-12-22,82.6
2007-12-23,82.56
2007-12-24,82.53
2007-12-25,82.52
2007-12-26,82.48
2007-12-27,82.46
2007-12-28,82.42
2007-12-29,82.41
2007-12-30,82.38
2007-12-31,82.37
2008-01-01,82.34
2008-01-02,82.31
2008-01-03,82.42
2008-01-04,83.71
2008-01-05,84.08
2008-01-06,84.37
2008-01-07,84.59
2008-01-08,84.75
2008-01-09,84.86
2008-01-10,84.96
2008-01-11,85.04
2008-01-12,85.09
2008-01-13,85.13
2008-01-14,85.15
2008-01-15,85.19
2008-01-16,85.22
2008-01-17,85.22
2008-01-18,85.23
2008-01-19,85.23
2008-01-20,85.26
2008-01-21,85.26
2008-01-22,85.27
2008-01-23,85.27
2008-01-24,85.27
2008-01-25,85.26
2008-01-26,85.24
2008-01-27,85.24
2008-01-28,85.24
2008-01-29,85.22
2008-01-30,85.2
2008-01-31,85.19
2008-02-01,85.19
2008-02-02,85.18
2008-02-03,85.16
2008-02-04,85.14
2008-02-05,85.11
2008-02-06,85.09
2008-02-07,85.08
2008-02-08,85.06
2008-02-09,85.03
2008-02-10,85.02
2008-02-11,85.0
2008-02-12,84.99
2008-02-13,84.97
2008-02-14,84.94
2008-02-15,84.94
2008-02-16,84.91
2008-02-17,84.88
2008-02-18,84.86
2008-02-19,84.84
2008-02-20,84.82
2008-02-21,84.79
2008-02-22,84.78
2008-02-23,84.75
2008-02-24,84.71
2008-02-25,84.7
2008-02-26,84.68
2008-02-27,84.67
2008-02-28,84.66
2008-02-29,84.64
2008-03-01,84.64
2008-03-02,84.6
2008-03-03,84.6
2008-03-04,84.59
2008-03-05,84.58
2008-03-06,84.58
2008-03-07,84.56
2008-03-08,84.55
2008-03-09,84.53
2008-03-10,84.51
2008-03-11,84.5
2008-03-12,84.46
2008-03-13,84.43
2008-03-14,84.42
2008-03-15,84.4
2008-03-16,84.39
2008-03-17,84.39
2008-03-18,84.38
2008-03-19,84.37
2008-03-20,84.33
2008-03-21,84.31
2008-03-22,84.33
2008-03-23,84.3
2008-03-24,84.28
2008-03-25,84.24
2008-03-26,84.22
2008-03-27,84.2
2008-03-28,84.18
2008-03-29,84.14
2008-03-30,84.13
2008-03-31,84.1
2008-04-01,84.07
2008-04-02,84.04
2008-04-03,84.03
2008-04-04,84.01
2008-04-05,83.99
2008-04-06,83.98
2008-04-07,83.96
2008-04-08,83.95
2008-04-09,83.92
2008-04-10,83.9
2008-04-11,83.89
2008-04-12,83.86
2008-04-13,83.82
2008-04-14,83.8
2008-04-15,83.76
2008-04-16,83.75
2008-04-17,83.74
2008-04-18,83.75
2008-04-19,83.76
2008-04-20,83.79
2008-04-21,83.88
2008-04-22,83.97
2008-04-23,84.02
2008-04-24,84.07
2008-04-25,84.11
2008-04-26,84.16
2008-04-27,84.19
2008-04-28,84.24
2008-04-29,84.25
2008-04-30,84.29
2008-05-01,84.28
2008-05-02,84.29
2008-05-03,84.3
2008-05-04,84.31
2008-05-05,84.3
2008-05-06,84.31
2008-05-07,84.33
2008-05-08,84.37
2008-05-09,84.4
2008-05-10,84.4
2008-05-11,84.41
2008-05-12,84.41
2008-05-13,84.4
2008-05-14,84.47
2008-05-15,84.45
2008-05-16,84.45
2008-05-17,84.5
2008-05-18,84.58
2008-05-19,84.67
2008-05-20,84.75
2008-05-21,84.83
2008-05-22,84.9
2008-05-23,84.95
2008-05-24,85.02
2008-05-25,85.14
2008-05-26,85.16
2008-05-27,85.29
2008-05-28,85.54
2008-05-29,85.7
2008-05-30,85.88
2008-05-31,85.99
2008-06-01,86.33
2008-06-02,86.62
2008-06-03,87.25
2008-06-04,87.76
2008-06-05,88.07
2008-06-06,88.28
2008-06-07,88.47
2008-06-08,88.63
2008-06-09,88.78
2008-06-10,88.92
2008-06-11,89.02
2008-06-12,89.13
2008-06-13,89.23
2008-06-14,89.3
2008-06-15,89.36
2008-06-16,89.46
2008-06-17,89.67
2008-06-18,89.8
2008-06-19,89.92
2008-06-20,90.01
2008-06-21,90.09
2008-06-22,90.15
2008-06-23,90.21
2008-06-24,90.26
2008-06-25,90.31
2008-06-26,90.36
2008-07-03,90.66
2008-07-04,90.64
2008-07-05,90.59
2008-07-06,90.56
2008-07-07,90.51
2008-07-08,90.45
2008-07-09,90.39
2008-07-10,90.36
2008-07-11,90.31
2008-07-12,90.26
2008-07-13,90.19
2008-07-14,90.12
2008-07-15,90.05
2008-07-16,90.02
2008-07-17,89.97
2008-07-18,89.92
2008-07-19,89.85
2008-07-20,89.79
2008-07-21,89.72
2008-07-22,89.66
2008-07-23,89.6
2008-07-24,89.55
2008-07-25,89.49
2008-07-26,89.44
2008-07-27,89.37
2008-07-28,89.31
2008-07-29,89.27
2008-07-30,89.24
2008-07-31,89.2
2008-08-01,89.16
2008-08-02,89.1
2008-08-03,89.07
2008-08-04,89.04
2008-08-05,88.99
2008-08-06,88.97
2008-08-07,88.93
2008-08-08,88.87
2008-08-09,88.83
2008-08-10,88.79
2008-08-11,88.77
2008-08-12,88.72
2008-08-13,88.67
2008-08-14,88.63
2008-08-15,88.58
2008-08-16,88.54
2008-08-17,88.5
2008-08-18,88.46
2008-08-19,88.41
2008-08-20,88.37
2008-08-21,88.32
2008-08-22,88.29
2008-08-23,88.24
2008-08-24,88.21
2008-08-25,88.15
2008-08-26,88.11
2008-08-27,88.08
2008-08-28,88.04
2008-08-29,87.99
2008-08-30,87.97
2008-08-31,87.91
2008-09-01,87.87
2008-09-02,87.85
2008-09-04,87.76
2008-09-05,87.74
2008-09-06,87.68
2008-09-07,87.62
2008-09-08,87.58
2008-09-09,87.53
2008-09-10,87.51
2008-09-11,87.47
2008-09-12,87.42
2008-09-13,87.37
2008-09-14,87.34
2008-09-15,87.29
2008-09-16,87.26
2008-09-17,87.2
2008-09-18,87.17
2008-09-19,87.12
2008-09-20,87.06
2008-09-21,87.04
2008-09-22,87.0
2008-09-23,86.94
2008-09-24,86.89
2008-09-25,86.85
2008-09-26,86.8
2008-09-27,86.76
2008-09-28,86.79
2008-09-29,86.68
2008-09-30,86.64
2008-10-01,86.6
2008-10-02,86.57
2008-10-03,86.53
2008-10-04,86.5
2008-10-05,86.55
2008-10-06,86.42
2008-10-07,86.36
2008-10-08,86.32
2008-10-09,87.36
2008-10-10,86.23
2008-10-11,86.17
2008-10-12,86.13
2008-10-13,86.09
2008-10-14,86.05
2008-10-15,86.02
2008-10-16,85.96
2008-10-17,85.92
2008-10-18,85.88
2008-10-19,85.83
2008-10-20,85.83
2008-10-21,85.75
2008-10-22,85.7
2008-10-23,85.66
2008-10-24,85.61
2008-10-25,85.56
2008-10-26,85.52
2008-10-27,85.5
2008-10-28,85.47
2008-10-29,85.43
2008-10-30,85.38
2008-10-31,85.45
2008-11-01,85.31
2008-11-02,89.29
2008-11-03,88.87
2008-11-04,89.31
2008-11-05,92.22
2008-11-06,93.16
2008-11-07,93.77
2008-11-08,94.13
2008-11-09,94.29
2008-11-10,94.43
2008-11-11,94.61
2008-11-12,94.57
2008-11-13,94.59
2008-11-14,94.61
2008-11-15,94.56
2008-11-16,94.55
2008-11-17,94.52
2008-11-18,94.5
2008-11-19,94.45
2008-11-20,94.36
2008-11-21,94.34
2008-11-22,94.38
2008-11-23,94.23
2008-11-24,94.2
2008-11-25,94.11
2008-11-26,94.01
2008-11-27,93.95
2008-11-28,93.96
2008-11-29,93.93
2008-11-30,93.87
2008-12-01,93.79
2008-12-02,93.75
2008-12-03,93.83
2008-12-04,93.68
2008-12-05,93.7
2008-12-06,93.57
2008-12-07,93.49
2008-12-08,93.5
2008-12-09,93.42
2008-12-10,93.41
2008-12-11,93.32
2008-12-12,93.36
2008-12-13,93.3
2008-12-14,93.68
