date,value
1990-01-02,201.23
1990-01-09,201.23
1990-01-16,201.18
1990-01-23,201.13
1990-01-30,201.18
1990-02-06,201.23
1990-02-13,201.25
1990-02-20,202.45
1990-02-27,202.59
1990-03-06,202.99
1990-03-13,202.97
1990-03-20,202.97
1990-03-27,202.92
1990-04-03,202.87
1990-04-10,202.78
1990-04-17,202.7
1990-04-24,202.65
1990-05-01,202.62
1990-05-08,202.57
1990-05-15,202.51
1990-05-22,202.43
1990-05-29,202.37
1990-06-05,202.27
1990-06-12,202.19
1990-06-19,202.19
1990-06-26,202.19
1990-07-03,202.13
1990-07-10,202.14
1990-07-17,202.1
1990-07-24,202.02
1990-07-31,201.95
1990-08-07,201.81
1990-08-14,201.71
1990-08-21,201.66
1990-08-28,201.53
1990-09-04,201.44
1990-09-11,201.37
1990-09-18,201.3
1990-09-25,201.24
1990-10-02,201.23
1990-10-09,201.29
1990-10-16,201.31
1990-10-23,201.29
1990-10-30,201.29
1990-11-06,201.41
1990-11-13,201.46
1990-11-20,201.52
1990-11-27,201.68
1990-12-04,201.8
1990-12-11,201.83
1990-12-18,201.8
1990-12-25,201.75
1991-01-01,201.84
1991-01-08,201.98
1991-01-15,202.12
1991-01-22,202.17
1991-01-29,202.19
1991-02-05,202.16
1991-02-12,202.11
1991-02-19,202.05
1991-02-26,202.0
1991-03-05,201.98
1991-03-12,201.93
1991-03-19,201.88
1991-03-26,201.85
1991-04-02,201.81
1991-04-09,201.74
1991-04-16,201.68
1991-04-23,201.61
1991-04-30,201.56
1991-05-07,201.49
1991-05-14,201.41
1991-05-21,201.34
1991-05-28,201.27
1991-06-04,201.18
1991-06-11,201.1
1991-06-18,201.05
1991-06-25,201.04
1991-07-02,201.01
1991-07-09,200.93
1991-07-16,200.83
1991-07-23,200.71
1991-07-30,200.59
1991-08-06,200.49
1991-08-13,200.39
1991-08-20,200.27
1991-08-27,200.15
1991-09-03,200.07
1991-09-10,200.01
1991-09-17,199.96
1991-09-24,199.91
1991-10-01,199.86
1991-10-08,199.82
1991-10-15,199.81
1991-10-22,199.8
1991-10-29,199.83
1991-11-05,199.9
1991-11-12,200.07
1991-11-19,200.25
1991-11-26,200.43
1991-12-03,200.53
1991-12-10,200.55
1991-12-17,200.53
1991-12-24,200.55
1991-12-31,200.69
1992-01-07,200.87
1992-01-14,201.07
1992-01-21,201.12
1992-01-28,201.12
1992-02-04,201.13
1992-02-11,201.14
1992-02-18,201.19
1992-02-25,201.19
1992-03-03,201.21
1992-03-10,201.17
1992-03-17,201.18
1992-03-24,201.31
1992-03-31,201.49
1992-04-07,201.65
1992-04-14,201.75
1992-04-21,201.81
1992-04-28,201.89
