,date,value
0,2012-01-25,127.5
1,2012-02-08,127.71
2,2012-02-09,127.72
3,2012-02-10,127.73
4,2012-02-11,127.75
5,2012-02-12,127.76
6,2012-02-13,127.77
7,2012-02-14,127.79
8,2012-02-15,127.8
9,2012-02-16,127.81
10,2012-02-17,127.82
11,2012-02-18,127.84
12,2012-02-19,127.86
13,2012-02-20,127.86
14,2012-02-21,127.87
15,2012-02-22,127.89
16,2012-02-23,127.91
17,2012-02-24,127.93
18,2012-02-25,127.95
19,2012-02-26,127.97
20,2012-02-27,127.99
21,2012-02-28,128.02
22,2012-02-29,128.04
23,2012-03-01,128.07
24,2012-03-02,128.09
25,2012-03-03,128.11
26,2012-03-04,128.14
27,2012-03-05,128.18
28,2012-03-06,128.2
29,2012-03-07,128.21
30,2012-03-08,128.26
31,2012-03-09,128.26
32,2012-03-10,128.27
33,2012-03-11,128.3
34,2012-03-12,128.32
35,2012-03-13,128.34
36,2012-03-14,128.36
37,2012-03-15,128.38
38,2012-03-16,128.39
39,2012-03-17,128.41
40,2012-03-18,128.43
41,2012-03-19,128.44
42,2012-03-20,128.45
43,2012-03-21,128.45
44,2012-03-22,128.47
45,2012-03-23,128.48
46,2012-03-24,128.48
47,2012-03-25,128.48
48,2012-03-26,128.48
49,2012-03-27,128.49
50,2012-03-28,128.49
51,2012-03-29,128.5
52,2012-03-30,128.5
53,2012-03-31,128.51
54,2012-04-01,128.5
55,2012-04-02,128.51
56,2012-04-03,128.51
57,2012-04-04,128.51
58,2012-04-05,128.5
59,2012-04-06,128.5
60,2012-04-07,128.51
61,2012-04-08,128.5
62,2012-04-09,128.5
63,2012-04-10,128.52
64,2012-04-11,128.51
65,2012-04-12,128.51
66,2012-04-13,128.5
67,2012-04-14,128.5
68,2012-04-15,128.5
69,2012-04-16,128.49
70,2012-04-17,128.49
71,2012-04-18,128.51
72,2012-04-19,128.53
73,2012-04-20,128.52
74,2012-04-21,128.51
75,2012-04-22,128.52
76,2012-04-23,128.51
77,2012-04-24,128.53
78,2012-04-25,128.54
79,2012-04-26,128.56
80,2012-04-27,128.58
81,2012-04-28,128.57
82,2012-04-29,128.57
83,2012-04-30,128.57
84,2012-05-01,128.58
85,2012-05-02,128.57
86,2012-05-03,128.67
87,2012-05-04,128.65
88,2012-05-05,128.66
89,2012-05-06,128.64
90,2012-05-07,128.68
91,2012-05-08,128.65
92,2012-05-09,128.64
93,2012-05-10,128.62
94,2012-05-11,128.61
95,2012-05-12,128.6
96,2012-05-13,128.61
97,2012-05-14,128.62
98,2012-05-15,128.62
99,2012-05-16,128.62
100,2012-05-17,128.62
101,2012-05-18,128.63
102,2012-05-19,128.62
103,2012-05-20,128.62
104,2012-05-21,128.66
105,2012-05-22,128.65
106,2012-05-23,128.71
107,2012-05-24,128.67
108,2012-05-25,128.66
109,2012-05-26,128.65
110,2012-05-27,128.64
111,2012-05-28,128.64
112,2012-05-29,128.65
