date,value
1990-01-02,143.38
1990-01-30,143.73
1990-03-01,144.66
1990-04-03,145.29
1990-05-02,145.16
1990-06-01,145.86
1990-06-19,145.81
1990-06-29,145.86
1990-08-02,143.76
1990-08-28,142.53
1990-10-03,141.71
1990-11-06,141.71
1990-12-05,141.53
1991-01-02,142.38
1991-02-04,142.79
1991-02-12,141.51
1991-05-16,144.01
1991-08-29,141.41
1991-12-04,139.71
1992-01-06,140.91
1992-02-07,141.51
1992-02-28,141.61
1992-03-09,141.61
1992-04-03,142.01
1992-04-30,142.11
1992-06-15,142.91
1992-07-03,142.51
1992-08-04,142.71
1992-09-07,143.41
1992-10-13,142.71
1992-11-02,141.71
1992-12-01,140.21
1993-02-11,146.61
1993-03-11,144.21
1993-04-08,144.71
1993-05-06,144.61
1993-06-07,144.91
1993-07-01,144.91
1993-08-04,145.31
1993-09-02,143.81
1993-10-07,143.41
1993-11-09,143.51
1993-12-03,143.51
1994-01-13,143.56
1994-10-06,138.71
1994-11-16,138.51
1994-11-24,138.61
1994-12-12,138.71
1995-01-09,139.11
1995-02-06,139.41
1995-02-09,140.41
1995-04-03,140.31
1995-05-05,143.61
1995-06-09,140.81
1995-07-03,141.11
1995-09-27,138.21
1995-11-28,139.01
1996-01-08,138.41
1996-01-29,138.76
1996-02-12,139.01
1996-03-14,139.61
1996-04-06,139.51
1996-06-05,140.31
1996-07-01,140.07
1996-07-15,142.81
1996-08-07,139.51
1996-09-03,139.21
1996-10-23,139.19
1996-12-18,139.51
1997-01-14,139.58
1997-02-25,139.76
1997-03-05,139.75
1997-03-11,139.78
1997-03-17,139.81
1997-05-29,139.86
1997-07-03,139.84
1997-08-21,139.77
1997-09-29,139.71
1997-10-27,139.68
1997-10-28,139.75
1997-10-29,139.74
1997-11-24,139.68
1997-12-22,139.73
1998-01-20,139.94
1998-02-19,139.96
1998-02-20,139.97
1998-03-16,139.99
1998-04-14,140.11
1998-05-18,140.13
1998-06-09,140.14
1998-07-13,139.77
1998-07-23,139.54
1998-08-18,138.5
1998-09-15,138.03
1998-10-06,137.95
1998-11-17,137.91
1998-12-14,138.01
1998-12-18,137.94
1999-01-21,137.98
1999-02-08,137.99
1999-03-16,138.08
1999-03-17,138.1
1999-05-26,138.13
1999-06-15,138.11
1999-07-04,138.09
1999-07-12,138.01
1999-08-10,137.91
1999-09-23,137.45
1999-10-01,137.53
1999-10-20,137.51
1999-11-01,137.5
1999-11-18,137.37
2000-01-10,137.45
2000-02-11,137.5
2000-03-15,137.6
2000-03-31,137.65
2000-04-14,137.68
2000-05-18,137.72
2000-06-16,137.74
2000-07-06,137.73
2000-07-26,137.71
2000-09-20,137.52
2000-10-24,137.4
2000-10-31,137.41
2000-11-17,137.41
2000-12-27,137.47
2001-02-17,137.71
2001-02-27,137.79
2001-03-26,137.99
2001-03-29,138.07
2001-04-26,138.18
2001-05-18,138.29
2001-05-31,138.34
2001-06-14,138.38
2001-06-29,138.46
2001-07-26,138.4
2001-08-30,136.71
2001-09-27,135.17
2001-10-22,135.03
2001-10-25,135.09
2001-11-14,135.05
2001-11-29,135.13
2001-12-20,135.22
2002-01-31,135.62
2002-02-28,135.95
2002-03-21,136.17
2002-04-25,136.5
2002-05-30,136.73
2002-06-27,136.88
2002-07-25,136.76
2002-08-29,135.56
2002-09-26,135.3
2002-10-31,135.31
2002-11-28,135.34
2002-12-19,135.48
2003-01-30,135.84
2003-02-27,136.22
2003-03-26,136.48
2003-04-29,136.7
2003-05-27,136.88
2003-06-26,136.78
2003-07-31,134.76
2003-08-28,133.07
2003-09-25,132.83
2003-10-23,132.8
2003-11-27,132.81
2003-12-18,132.84
2004-01-29,133.0
2004-01-30,133.01
2004-02-01,133.01
2004-02-03,133.02
2004-02-05,133.03
2004-02-07,133.04
2004-02-09,133.05
2004-02-11,133.05
2004-02-13,133.06
2004-02-15,133.07
2004-02-17,133.08
2004-02-19,133.09
2004-02-21,133.1
2004-02-23,133.11
2004-02-25,133.11
2004-02-26,133.12
2004-02-28,133.13
