date,value
1990-01-30,31.23
1990-04-24,31.52
1990-10-09,28.83
1991-01-25,30.8
1991-04-30,31.16
1991-10-14,28.72
1992-01-28,30.38
1992-04-15,30.9
1992-10-20,30.3
1993-01-11,31.35
1993-04-27,31.39
1993-10-18,29.75
1994-01-31,30.98
1994-05-10,31.45
1994-11-18,29.75
1995-01-31,30.55
1995-05-02,30.98
1995-10-15,28.89
1996-01-01,30.43
1996-05-01,30.96
1996-10-01,28.87
1997-01-01,30.57
1997-05-01,30.41
1997-10-01,30.49
1998-01-01,31.0
1998-05-01,31.39
1998-10-01,29.98
1999-01-01,30.7
1999-05-01,31.29
1999-10-01,29.74
2000-01-01,30.8
2000-05-01,31.2
2000-10-01,28.96
2001-01-01,30.93
2001-04-23,31.44
2001-10-01,28.6
2002-01-14,30.15
2002-04-22,30.52
2002-10-14,28.75
2003-01-20,30.25
2003-04-14,30.4
2003-10-13,28.22
2004-01-26,29.98
2004-04-13,30.38
2004-10-11,28.65
2005-01-17,29.96
2005-04-11,29.82
2005-10-10,26.96
2006-01-12,28.44
2006-04-06,29.1
2006-10-11,27.16
2007-01-17,28.43
2007-04-04,29.06
2007-05-29,29.18
2007-10-10,27.42
2008-01-17,28.64
2008-04-09,29.3
2008-10-15,27.87
2009-01-13,29.05
2009-04-08,29.6
2009-10-15,27.09
2010-01-13,28.96
2010-04-13,29.33
2010-05-12,29.29
2010-06-22,29.28
2010-07-09,24.47
2010-08-25,22.55
2010-09-16,25.23
2010-10-15,26.86
2010-12-20,28.58
2011-01-01,28.16
2011-01-02,28.16
2011-01-03,28.15
2011-01-04,28.15
2011-01-05,28.14
2011-01-06,28.14
2011-01-07,28.14
2011-01-08,28.15
2011-01-09,28.15
2011-01-10,28.14
2011-01-11,28.15
2011-01-12,28.11
2011-01-13,28.11
2011-01-14,28.12
2011-01-15,28.12
2011-01-16,28.14
2011-01-17,28.16
2011-01-18,28.15
2011-01-19,28.18
2011-01-20,28.18
2011-01-21,28.17
2011-01-22,28.19
2011-01-23,28.22
2011-01-24,28.24
2011-01-25,28.26
2011-01-26,28.32
2011-01-27,28.33
2011-01-28,28.33
2011-01-29,28.34
2011-01-30,28.33
2011-01-31,28.31
2011-02-01,28.28
2011-02-02,28.24
2011-02-03,28.24
2011-02-04,28.23
2011-02-05,28.23
2011-02-06,28.28
2011-02-07,28.31
2011-02-08,28.34
2011-02-09,28.34
2011-02-10,28.36
2011-02-11,28.37
2011-02-12,28.37
2011-02-13,28.45
2011-02-14,28.45
2011-02-15,28.51
2011-02-16,28.54
2011-02-17,28.53
2011-02-18,28.46
2011-02-19,28.44
2011-02-20,28.45
2011-02-21,28.49
2011-02-22,28.49
2011-02-23,28.46
2011-02-24,28.43
2011-02-25,28.41
2011-02-26,28.44
2011-02-27,28.47
2011-02-28,28.51
2011-03-01,28.49
2011-03-02,28.49
2011-03-03,28.51
2011-03-04,28.52
2011-03-05,28.53
2011-03-06,28.55
2011-03-07,28.57
2011-03-08,28.56
2011-03-09,28.55
2011-03-10,28.53
2011-03-11,28.58
2011-03-12,28.64
2011-03-13,28.66
2011-03-14,28.68
2011-03-15,28.69
2011-03-16,28.68
2011-03-17,28.64
2011-03-18,28.56
2011-03-19,28.54
2011-03-20,28.56
2011-03-21,28.57
2011-03-22,28.59
2011-03-23,28.6
2011-03-24,28.6
2011-03-25,28.62
2011-03-26,28.65
2011-03-27,28.67
2011-03-28,28.67
2011-03-29,28.67
2011-03-30,28.66
2011-03-31,28.62
2011-04-01,28.64
2011-04-02,28.65
2011-04-03,28.66
2011-04-04,28.65
2011-04-05,28.64
2011-04-06,28.65
2011-04-07,28.64
2011-04-08,28.67
2011-04-09,28.68
2011-04-10,28.67
2011-04-11,28.68
2011-04-12,28.66
2011-04-13,28.7
2011-04-14,28.72
2011-04-15,28.72
2011-04-16,28.71
2011-04-17,28.73
2011-04-18,28.74
2011-04-19,28.76
2011-04-20,28.75
2011-04-21,28.75
2011-04-22,28.79
2011-04-23,28.8
2011-04-24,28.8
2011-04-25,28.83
2011-04-26,28.85
2011-04-27,28.88
2011-04-28,28.91
2011-04-29,28.96
2011-04-30,28.99
2011-05-01,29.0
2011-05-02,29.01
2011-05-03,28.99
2011-05-04,28.96
2011-05-05,28.96
2011-05-06,28.99
2011-05-07,28.99
2011-05-08,29.0
2011-05-09,28.98
2011-05-10,28.96
2011-05-11,28.98
2011-05-12,28.98
2011-05-13,29.0
2011-05-14,28.99
2011-05-15,28.96
2011-05-16,28.97
2011-05-17,28.95
2011-05-18,28.95
2011-05-19,28.95
2011-05-20,28.92
2011-05-21,28.86
2011-05-22,28.82
2011-05-23,28.68
2011-05-24,28.56
2011-05-25,28.45
2011-05-26,28.41
2011-05-27,28.32
2011-05-28,28.25
2011-05-29,28.16
2011-05-30,28.07
2011-05-31,27.97
2011-06-01,27.68
2011-06-02,27.5
2011-06-03,27.33
2011-06-04,27.01
2011-06-05,26.89
2011-06-06,26.63
2011-06-07,26.58
2011-06-08,26.48
2011-06-09,26.53
2011-06-10,26.57
2011-06-11,26.68
2011-06-12,26.81
2011-06-13,26.92
2011-06-14,27.02
2011-06-15,27.11
2011-06-16,27.18
2011-06-17,27.27
2011-06-18,27.31
2011-06-19,27.37
2011-06-20,27.38
2011-06-21,27.84
2011-06-22,27.65
2011-06-23,27.31
2011-06-24,26.12
2011-06-25,25.35
2011-06-26,25.36
2011-06-27,25.4
2011-06-28,25.44
2011-06-29,25.32
2011-06-30,25.16
2011-07-01,23.89
2011-07-02,24.39
2011-07-03,24.28
2011-07-04,24.31
2011-07-05,23.83
2011-07-06,23.82
2011-07-07,23.92
2011-07-08,23.82
2011-07-09,23.82
2011-07-10,23.82
2011-07-11,23.82
2011-07-12,24.17
2011-07-13,24.45
2011-07-14,24.71
2011-07-15,24.96
2011-07-16,25.21
2011-07-17,25.41
2011-07-18,25.63
2011-07-19,25.77
2011-07-20,25.92
2011-07-21,26.05
2011-07-22,26.17
2011-07-23,26.28
2011-07-24,26.41
2011-07-25,26.54
2011-07-26,26.63
2011-07-27,26.71
2011-07-28,26.79
2011-07-29,26.89
2011-07-30,26.97
2011-07-31,27.06
2011-08-01,27.16
2011-08-02,27.2
2011-08-03,27.24
2011-08-04,27.25
2011-08-05,27.25
2011-08-06,27.09
2011-08-07,26.76
2011-08-08,27.01
2011-08-09,26.96
2011-08-10,26.75
2011-08-11,26.61
2011-08-12,26.38
2011-08-13,26.1
2011-08-14,25.46
2011-08-15,25.55
2011-08-16,25.49
2011-08-17,24.73
2011-08-18,24.48
2011-08-19,24.64
2011-08-20,24.04
2011-08-21,25.13
2011-08-22,25.29
2011-08-23,25.24
2011-08-24,25.25
2011-08-25,25.41
2011-08-26,25.67
2011-08-27,25.86
2011-08-28,26.03
2011-08-29,26.17
2011-08-30,26.32
2011-08-31,26.43
2011-09-01,26.52
2011-09-02,26.61
2011-09-03,26.7
2011-09-04,26.75
2011-09-05,26.8
2011-09-06,26.87
2011-09-07,26.95
2011-09-08,27.04
2011-09-09,27.13
2011-09-10,27.17
2011-09-11,27.2
2011-09-12,27.24
2011-09-13,27.28
2011-09-14,27.31
2011-09-15,27.28
2011-09-16,27.31
2011-09-17,27.35
2011-09-18,27.38
2011-09-19,27.39
2011-09-20,27.45
2011-09-21,27.54
2011-09-22,27.63
2011-09-23,27.75
2011-09-24,27.81
2011-09-25,27.86
2011-09-26,27.91
2011-09-27,27.96
2011-09-28,27.99
2011-09-29,27.95
2011-09-30,27.95
2011-10-01,27.94
2011-10-02,27.93
2011-10-03,27.92
2011-10-04,27.91
2011-10-05,27.86
2011-10-06,27.88
2011-10-07,27.89
2011-10-08,27.89
2011-10-09,27.9
2011-10-10,27.93
2011-10-11,27.95
2011-10-12,27.97
2011-10-13,27.99
2011-10-14,28.01
2011-10-15,28.04
2011-10-16,28.07
2011-10-17,28.11
2011-10-18,28.14
2011-10-19,28.14
2011-10-20,28.12
2011-10-21,28.17
2011-10-22,28.2
2011-10-23,28.27
2011-10-24,28.33
2011-10-25,28.33
2011-10-26,28.32
2011-10-27,28.34
2011-10-28,28.3
2011-10-29,28.28
2011-10-30,28.3
2011-10-31,28.31
2011-11-01,28.31
2011-11-02,28.39
2011-11-03,28.44
2011-11-04,28.45
2011-11-05,28.45
2011-11-06,28.43
2011-11-07,28.44
2011-11-08,28.45
2011-11-09,28.42
2011-11-10,28.44
2011-11-11,28.45
2011-11-12,28.42
2011-11-13,28.4
2011-11-14,28.44
2011-11-15,28.44
2011-11-16,28.47
2011-11-17,28.51
2011-11-18,28.52
2011-11-19,28.5
2011-11-20,28.47
2011-11-21,28.52
2011-11-22,28.51
2011-11-23,28.44
2011-11-24,28.4
2011-11-25,28.38
2011-11-26,28.36
2011-11-27,28.4
2011-11-28,28.44
2011-11-29,28.45
2011-11-30,28.42
2011-12-01,28.44
2011-12-02,28.45
2011-12-03,28.46
2011-12-04,28.52
2011-12-05,28.54
2011-12-06,28.52
2011-12-07,28.49
2011-12-08,28.51
2011-12-09,28.53
2011-12-10,28.56
2011-12-11,28.58
2011-12-12,28.58
2011-12-13,28.63
2011-12-14,28.63
2011-12-15,28.63
2011-12-16,28.69
2011-12-17,28.64
2011-12-18,28.63
2011-12-19,28.63
2011-12-20,28.66
2011-12-21,28.69
2011-12-22,28.64
2011-12-23,28.63
2011-12-24,28.61
2011-12-25,28.63
2011-12-26,28.69
2011-12-27,28.7
2011-12-28,28.7
2011-12-29,28.7
2011-12-30,28.74
2011-12-31,28.8
