date,value
2013-08-05,70.07
2013-08-06,70.09
2013-08-07,70.08
2013-08-08,70.05
2013-08-09,69.99
2013-08-10,69.97
2013-08-11,69.99
2013-08-12,69.99
2013-08-13,69.96
2013-08-14,69.93
2013-08-15,69.92
2013-08-16,69.91
2013-08-17,69.87
2013-08-18,69.86
2013-08-19,69.81
2013-08-20,69.74
2013-08-21,69.73
2013-08-22,69.72
2013-08-23,69.66
2013-08-24,69.61
2013-08-25,69.56
2013-08-26,69.54
2013-08-27,69.5
2013-08-28,69.44
2013-08-29,69.38
2013-08-30,69.32
2013-08-31,69.24
2013-09-01,69.16
2013-09-02,69.09
2013-09-03,69.03
2013-09-04,68.99
2013-09-05,68.95
2013-09-06,68.9
2013-09-07,68.83
2013-09-08,68.77
2013-09-09,68.77
2013-09-10,68.63
2013-09-11,68.61
2013-09-12,68.58
2013-09-13,68.53
2013-09-14,68.48
2013-09-15,68.43
2013-09-16,68.4
2013-09-17,68.37
2013-09-18,68.34
2013-09-19,68.3
2013-09-20,68.31
2013-09-21,68.29
2013-09-22,68.27
2013-09-23,68.28
2013-09-24,68.28
2013-09-25,68.27
2013-09-26,68.24
2013-09-27,68.22
2013-09-28,68.22
2013-09-29,68.21
2013-09-30,68.17
2013-10-01,68.13
2013-10-02,68.07
2013-10-03,68.05
2013-10-04,68.02
2013-10-05,68.02
2013-10-06,67.95
2013-10-07,67.91
2013-10-08,67.87
2013-10-09,67.83
2013-10-10,67.83
2013-10-11,67.81
2013-10-12,67.8
2013-10-13,67.76
2013-10-14,67.74
2013-10-15,67.71
2013-10-16,67.67
2013-10-17,67.62
2013-10-18,67.63
2013-10-19,67.61
2013-10-20,67.56
2013-10-21,67.52
2013-10-22,67.54
2013-10-23,67.51
2013-10-24,67.44
2013-10-25,67.42
2013-10-26,67.38
2013-10-27,67.31
2013-10-28,67.3
2013-10-29,67.24
2013-10-30,67.17
2013-10-31,67.14
2013-11-01,67.13
2013-11-02,67.14
2013-11-03,67.1
2013-11-04,67.14
2013-11-05,67.16
2013-11-06,67.3
2013-11-07,67.32
2013-11-08,67.29
2013-11-09,67.23
2013-11-10,67.21
2013-11-11,67.34
2013-11-12,67.38
2013-11-13,67.34
2013-11-14,67.28
2013-11-15,67.27
2013-11-16,67.26
2013-11-17,67.27
2013-11-18,67.3
2013-11-19,67.28
2013-11-20,67.24
2013-11-21,67.38
2013-11-22,67.5
2013-11-23,67.52
2013-11-24,67.5
2013-11-25,67.38
2013-11-26,67.5
2013-11-27,67.52
2013-11-28,67.5
2013-11-29,67.4
2013-11-30,67.22
2013-12-01,67.27
2013-12-02,67.18
2013-12-03,67.13
2013-12-04,67.1
2013-12-05,67.06
2013-12-06,67.01
2013-12-07,67.01
2013-12-08,67.0
2013-12-09,66.97
2013-12-10,66.94
2013-12-11,66.91
2013-12-12,66.89
2013-12-13,66.88
2013-12-14,66.82
2013-12-15,66.78
2013-12-16,66.78
2013-12-17,66.77
2013-12-18,66.77
2013-12-19,66.78
2013-12-20,66.73
2013-12-21,66.64
2013-12-22,66.63
2013-12-23,66.67
2013-12-24,66.76
2013-12-25,66.77
2013-12-26,66.73
2013-12-27,66.82
2013-12-28,66.83
2013-12-29,66.86
2013-12-30,67.09
2013-12-31,67.21
2014-01-01,67.23
2014-01-02,67.21
2014-01-03,67.15
2014-01-04,67.32
2014-01-05,67.48
2014-01-06,67.6
2014-01-07,67.66
2014-01-08,67.71
2014-01-09,67.75
2014-01-10,67.81
2014-01-11,67.81
2014-01-12,67.84
2014-01-13,67.88
2014-01-14,67.93
2014-01-15,67.96
2014-01-16,68.01
2014-01-17,68.07
2014-01-18,68.13
2014-01-19,68.13
2014-01-20,68.08
2014-01-21,68.06
2014-01-22,68.07
2014-01-23,68.04
2014-01-24,68.14
2014-01-25,68.18
2014-01-26,68.35
2014-01-27,68.48
2014-01-28,68.66
2014-01-29,68.73
2014-01-30,68.78
2014-01-31,68.85
2014-02-01,68.9
2014-02-02,68.95
2014-02-03,69.06
2014-02-04,69.19
2014-02-05,69.21
2014-02-06,69.31
2014-02-07,69.31
2014-02-08,69.39
2014-02-09,69.53
2014-02-10,69.57
2014-02-11,69.55
2014-02-12,69.58
2014-02-13,69.63
2014-02-14,69.73
2014-02-15,69.74
2014-02-16,69.77
2014-02-17,69.84
2014-02-18,69.85
2014-02-19,69.88
2014-02-20,69.95
2014-02-21,69.98
2014-02-22,70.0
2014-02-23,70.1
2014-02-24,70.14
2014-02-25,70.18
2014-02-26,70.19
2014-02-27,70.22
2014-02-28,70.33
2014-03-01,70.43
2014-03-02,70.49
2014-03-03,70.49
2014-03-04,70.52
2014-03-05,70.53
2014-03-06,70.51
2014-03-07,70.53
2014-03-08,70.59
2014-03-09,70.62
2014-03-10,70.67
2014-03-11,70.71
2014-03-12,70.72
2014-03-13,70.76
2014-03-14,70.8
2014-03-15,70.81
2014-03-16,70.86
2014-03-17,70.86
2014-03-18,70.94
2014-03-19,71.0
2014-03-20,71.06
2014-03-21,71.09
2014-03-22,71.12
2014-03-23,71.14
2014-03-24,71.17
2014-03-25,71.19
2014-03-26,71.27
2014-03-27,71.29
2014-03-28,71.32
2014-03-29,71.37
2014-03-30,71.41
2014-03-31,71.44
2014-04-01,71.49
2014-04-02,71.56
2014-04-03,71.57
2014-04-04,71.56
2014-04-05,71.56
2014-04-06,71.58
2014-04-07,71.61
2014-04-08,71.59
2014-04-09,71.63
2014-04-10,71.69
2014-04-11,71.72
2014-04-12,71.73
2014-04-13,71.75
2014-04-14,71.8
2014-04-15,71.82
2014-04-16,71.84
2014-04-17,71.86
2014-04-18,71.92
2014-04-19,71.99
2014-04-20,72.01
2014-04-21,72.03
2014-04-22,72.02
2014-04-23,71.99
2014-04-24,72.03
2014-04-25,72.03
2014-04-26,72.06
2014-04-27,72.07
2014-04-28,72.09
2014-04-29,72.12
2014-04-30,72.12
2014-05-01,72.13
2014-05-02,72.13
2014-05-03,72.14
2014-05-04,72.18
2014-05-05,72.22
2014-05-06,72.22
2014-05-07,72.21
2014-05-08,72.21
2014-05-09,72.21
2014-05-10,72.24
2014-05-11,72.25
2014-05-12,72.27
2014-05-13,72.26
2014-05-14,72.23
2014-05-15,72.26
2014-05-16,72.31
2014-05-17,72.34
2014-05-18,72.4
2014-05-19,72.43
2014-05-20,72.43
2014-05-21,72.44
2014-05-22,72.43
2014-05-23,72.41
2014-05-24,72.37
2014-05-25,72.36
2014-05-26,72.35
2014-05-27,72.35
2014-05-28,72.36
2014-05-29,72.35
2014-05-30,72.34
2014-05-31,72.33
2014-06-01,72.32
2014-06-02,72.33
2014-06-03,72.36
2014-06-04,72.37
2014-06-05,72.37
2014-06-06,72.38
2014-06-07,72.38
2014-06-08,72.34
2014-06-09,72.33
2014-06-10,72.31
2014-06-11,72.27
2014-06-12,72.25
2014-06-13,72.25
2014-06-14,72.25
2014-06-15,72.24
2014-06-16,72.23
2014-06-17,72.22
2014-06-18,72.2
2014-06-19,72.18
2014-06-20,72.17
2014-06-21,72.17
2014-06-22,72.15
2014-06-23,72.11
2014-06-24,72.09
2014-06-25,72.09
2014-06-26,72.05
2014-06-27,72.0
2014-06-28,71.99
2014-06-29,71.94
2014-06-30,71.89
2014-07-01,71.9
2014-07-02,71.85
2014-07-03,71.78
2014-07-04,71.77
2014-07-05,71.72
2014-07-06,71.74
2014-07-07,71.66
2014-07-08,71.61
2014-07-09,71.57
2014-07-10,71.53
2014-07-11,71.49
2014-07-12,71.45
2014-07-13,71.42
2014-07-14,71.39
2014-07-15,71.32
2014-07-16,71.28
2014-07-17,71.25
2014-07-18,71.22
2014-07-19,71.2
2014-07-20,71.14
2014-07-21,71.06
2014-07-22,70.99
2014-07-23,70.97
2014-07-24,70.94
2014-07-25,70.89
2014-07-26,70.86
2014-07-27,70.84
2014-07-28,70.81
2014-07-29,70.78
2014-07-30,70.75
2014-07-31,70.71
2014-08-01,70.68
2014-08-02,70.65
2014-08-03,70.6
2014-08-04,70.53
2014-08-05,70.46
2014-08-06,70.42
2014-08-07,70.37
2014-08-08,70.35
2014-08-09,70.32
2014-08-10,70.33
2014-08-11,70.29
2014-08-12,70.25
2014-08-13,70.24
2014-08-14,70.17
2014-08-15,70.12
2014-08-16,70.06
2014-08-17,70.02
2014-08-18,70.03
2014-08-19,69.99
2014-08-20,69.94
2014-08-21,69.89
2014-08-22,69.87
2014-08-23,69.81
2014-08-24,69.76
2014-08-25,69.74
2014-08-26,69.73
2014-08-27,69.68
2014-08-28,69.64
2014-08-29,69.59
2014-08-30,69.51
2014-08-31,69.48
2014-09-01,69.48
2014-09-02,69.44
2014-09-03,69.42
2014-09-04,69.4
2014-09-05,69.38
2014-09-06,69.32
2014-09-07,69.29
2014-09-08,69.23
2014-09-09,69.16
2014-09-10,69.13
2014-09-11,69.11
2014-09-12,69.06
2014-09-13,69.02
2014-09-14,68.98
2014-09-15,68.96
2014-09-16,68.93
2014-09-17,68.92
2014-09-18,68.89
2014-09-19,68.83
2014-09-20,68.76
2014-09-21,68.68
2014-09-22,68.65
2014-09-23,68.62
2014-09-24,68.58
2014-09-25,68.5
2014-09-26,68.45
2014-09-27,68.41
2014-09-28,68.39
2014-09-29,68.35
2014-09-30,68.3
2014-10-01,68.25
2014-10-02,68.21
2014-10-03,68.19
2014-10-04,68.18
2014-10-05,68.13
2014-10-06,68.14
2014-10-07,68.12
2014-10-08,68.1
2014-10-09,68.06
2014-10-10,68.0
2014-10-11,67.95
2014-10-12,67.97
2014-10-13,67.92
2014-10-14,67.88
2014-10-15,67.82
2014-10-16,67.79
2014-10-17,67.73
2014-10-18,67.67
2014-10-19,67.62
2014-10-20,67.57
2014-10-21,67.53
2014-10-22,67.44
2014-10-23,67.42
2014-10-24,67.42
2014-10-25,67.39
2014-10-26,67.34
2014-10-27,67.32
2014-10-28,67.32
2014-10-29,67.29
2014-10-30,67.25
2014-10-31,67.2
2014-11-01,67.17
2014-11-02,67.15
2014-11-03,67.2
2014-11-04,67.22
2014-11-05,67.15
2014-11-06,67.07
2014-11-07,67.05
2014-11-08,67.0
2014-11-09,66.99
2014-11-10,66.95
2014-11-11,66.96
2014-11-12,66.93
2014-11-13,66.86
2014-11-14,66.86
2014-11-15,66.83
2014-11-16,66.83
2014-11-17,67.1
2014-11-18,67.27
2014-11-19,67.3
2014-11-20,67.25
2014-11-21,67.18
2014-11-22,67.17
2014-11-23,67.14
2014-11-24,67.09
2014-11-25,67.06
2014-11-26,67.07
2014-11-27,67.13
2014-11-28,67.15
2014-11-29,67.1
2014-11-30,67.04
2014-12-01,66.98
2014-12-02,66.91
2014-12-03,66.84
2014-12-04,66.82
2014-12-05,66.76
2014-12-06,66.68
2014-12-07,66.62
2014-12-08,66.59
2014-12-09,66.56
2014-12-10,66.52
2014-12-11,66.51
2014-12-12,66.57
2014-12-13,66.57
2014-12-14,66.53
2014-12-15,66.49
2014-12-16,66.47
2014-12-17,66.42
2014-12-18,66.37
2014-12-19,66.33
2014-12-20,66.29
2014-12-21,66.25
2014-12-22,66.26
2014-12-23,66.26
2014-12-24,66.23
2014-12-25,66.21
2014-12-26,66.19
2014-12-27,66.28
2014-12-28,66.34
2014-12-29,66.31
2014-12-30,66.26
2014-12-31,66.27
2015-01-01,66.25
2015-01-02,66.22
