,date,value
0,1990-01-05,5.38
1,1990-01-15,5.35
2,1990-01-25,5.32
3,1990-02-05,5.32
4,1990-02-15,5.45
5,1990-02-25,5.51
6,1990-03-05,5.44
7,1990-03-15,5.38
8,1990-03-25,5.33
9,1990-04-05,5.24
10,1990-04-15,5.3
11,1990-04-25,5.24
12,1990-05-05,5.18
13,1990-05-15,5.17
14,1990-05-25,5.18
15,1990-06-05,5.2
16,1990-06-15,5.14
17,1990-06-25,5.1
18,1990-07-05,5.04
19,1990-07-15,4.98
20,1990-07-25,4.91
21,1990-08-05,4.88
22,1990-08-15,4.81
23,1990-08-25,4.75
24,1990-09-05,4.72
25,1990-09-15,4.64
26,1990-09-25,4.63
27,1990-10-05,4.58
28,1990-10-15,4.6
29,1990-10-28,7.0
30,1990-11-05,6.58
31,1990-11-15,6.11
32,1990-11-25,5.86
33,1990-12-05,5.69
34,1990-12-15,5.58
35,1990-12-25,5.49
36,1990-12-31,5.46
37,1991-01-01,5.46
38,1991-01-05,5.46
39,1991-01-15,5.44
40,1991-01-25,5.5
41,1991-02-05,5.46
42,1991-02-15,5.42
43,1991-02-25,5.6
44,1991-03-05,5.78
45,1991-03-15,6.67
46,1991-03-25,6.29
47,1991-04-05,6.3
48,1991-04-15,6.02
49,1991-04-25,5.82
50,1991-05-05,5.74
51,1991-05-15,5.72
52,1991-05-25,5.63
53,1991-06-05,5.56
54,1991-06-15,5.46
55,1991-06-25,5.38
56,1991-07-05,5.35
57,1991-07-15,5.31
58,1991-07-25,5.24
59,1991-08-05,5.26
60,1991-08-15,5.24
61,1991-08-25,5.2
62,1991-09-15,5.12
63,1991-09-25,5.08
64,1991-10-05,5.08
65,1991-10-15,5.18
66,1991-10-25,5.14
67,1991-11-05,5.16
68,1991-11-15,5.15
69,1991-11-25,5.13
70,1991-12-05,5.08
71,1991-12-15,5.03
72,1991-12-25,5.0
73,1991-12-31,4.99
74,1992-01-01,4.98
75,1992-01-05,4.98
76,1992-01-15,5.0
77,1992-01-25,4.98
78,1992-02-05,5.0
79,1992-02-15,4.99
80,1992-02-25,4.99
81,1992-03-05,5.06
82,1992-03-15,5.12
83,1992-03-25,5.12
84,1992-04-05,5.04
85,1992-04-15,5.0
86,1992-04-25,4.97
87,1992-05-05,4.94
88,1992-05-15,4.9
89,1992-05-25,5.14
90,1992-06-05,5.46
91,1992-06-15,5.46
92,1992-06-25,5.57
93,1992-07-05,5.62
94,1992-07-15,5.45
95,1992-07-25,5.29
96,1992-08-05,5.18
97,1992-08-15,5.27
98,1992-08-25,5.2
99,1992-09-05,5.14
100,1992-09-15,5.1
101,1992-09-25,5.87
102,1992-10-05,5.94
103,1992-10-15,5.72
104,1992-10-25,5.68
105,1992-11-05,5.58
106,1992-11-15,5.5
107,1992-11-25,5.44
108,1992-12-05,5.4
109,1992-12-15,5.37
110,1992-12-23,5.76
111,1993-01-05,10.51
112,1993-01-06,5.68
113,1993-01-15,5.52
114,1993-01-25,5.45
115,1993-02-05,5.39
116,1993-02-15,5.44
117,1993-02-25,5.38
118,1993-03-05,5.35
119,1993-03-15,5.34
120,1993-03-25,5.55
121,1993-04-05,5.56
122,1993-04-15,5.45
123,1993-04-27,6.32
124,1993-05-05,7.22
125,1993-05-15,6.66
126,1993-05-25,6.54
127,1993-06-05,6.16
128,1993-06-15,5.9
129,1993-06-25,6.3
130,1993-07-05,5.68
131,1993-07-15,5.63
132,1993-07-25,5.58
133,1993-08-05,5.55
134,1993-08-15,5.53
135,1993-08-25,5.5
136,1993-09-05,5.48
137,1993-09-15,5.42
138,1993-09-25,5.54
139,1993-10-05,5.55
140,1993-10-15,5.57
141,1993-10-25,5.79
142,1993-11-05,8.7
143,1993-11-15,7.46
144,1993-11-25,7.69
145,1993-12-05,7.14
146,1993-12-15,6.7
147,1993-12-25,6.45
148,1993-12-31,6.37
149,1994-01-01,6.35
150,1994-01-05,6.34
151,1994-01-15,6.44
152,1994-01-25,6.21
153,1994-02-05,6.1
154,1994-02-15,6.37
155,1994-02-25,6.67
156,1994-03-05,6.56
157,1994-03-15,6.28
158,1994-03-25,6.12
159,1994-04-05,6.05
160,1994-04-15,6.0
161,1994-04-25,5.94
162,1994-05-05,5.96
163,1994-05-15,5.96
164,1994-05-25,5.95
165,1994-06-05,5.8
166,1994-06-15,5.8
167,1994-06-25,5.76
168,1994-07-05,5.79
169,1994-07-15,5.72
170,1994-07-25,5.72
171,1994-08-05,5.8
172,1994-08-15,5.75
173,1994-08-25,5.71
174,1994-09-05,5.64
175,1994-09-15,5.61
176,1994-09-25,6.16
177,1994-10-05,6.32
178,1994-10-15,6.0
179,1994-10-25,8.2
180,1994-11-05,8.85
181,1994-11-15,6.96
182,1994-11-25,7.08
183,1994-12-05,7.0
184,1994-12-15,6.72
185,1994-12-25,6.42
186,1995-01-01,6.3
187,1995-01-05,6.22
188,1995-01-15,6.17
189,1995-01-25,6.18
190,1995-02-05,6.11
191,1995-02-15,6.07
192,1995-02-25,6.06
193,1995-03-05,6.05
194,1995-03-15,6.0
195,1995-03-25,5.94
196,1995-04-05,5.88
197,1995-04-15,5.79
198,1995-04-25,5.8
199,1995-05-05,5.77
200,1995-05-15,5.72
201,1995-05-25,5.71
202,1995-06-05,5.66
203,1995-06-15,5.64
204,1995-06-25,5.56
205,1995-07-05,5.58
206,1995-07-15,5.57
207,1995-07-25,5.48
208,1995-08-05,5.55
209,1995-08-15,5.6
210,1995-08-25,5.6
211,1995-09-05,5.5
212,1995-09-15,5.52
213,1995-09-25,6.55
214,1995-10-05,6.15
215,1995-10-19,7.8
216,1995-10-25,7.68
217,1995-11-05,6.96
218,1995-11-15,6.69
219,1995-11-25,6.46
220,1995-12-05,7.56
221,1995-12-15,7.56
222,1995-12-25,7.64
223,1996-01-01,7.48
224,1996-01-05,7.35
225,1996-01-15,10.12
226,1996-01-25,10.16
227,1996-02-05,8.82
228,1996-02-15,7.64
229,1996-02-25,7.19
