departement_code,id,bss_code,name,critical-water-level,drought-decrees-sou,drought-decrees-sup,dryness-agricultural,dryness-groundwater,dryness-groundwater-deep,dryness-meteo,dryness-resources,dryness-small-stream,dryness-stream-flow,heatwave-agricultural,heatwave-meteo,heatwave-resources,quality
25,1824,05031X0072/F1,AMAGNEY (Amagney-25),0,0,0,0,0,1,0,0,0,0,0,0,0,0
26,1482,08672X0008/HY,Crupies - 08672X0008/HY,0,0,0,0,0,1,0,0,0,0,0,0,0,0
26,1484,08437X0027/PZ,Espenel - 08437X0027/PZ,0,0,0,0,0,1,0,0,0,0,0,0,0,0
26,1480,08681X0004/HY,Montlaur-en-Diois - 08681X0004/HY,0,0,0,0,0,1,0,0,0,0,0,0,0,0
26,8321,09153X0024/S,Plaisians - 09153X0024/S,0,0,0,0,0,1,0,0,0,0,0,0,0,0
26,2106,08668X0029/SCE,Source - Culty (Taulignan - 26),0,0,0,0,0,1,0,0,0,0,0,0,0,0
26,1481,08918X0014/HY,Vercoiran - 08918X0014/HY,0,0,0,0,0,1,0,0,0,0,0,0,0,0
31,708,10098A0004/F,MURET 104,0,0,0,0,1,1,0,0,0,0,0,0,0,0
31,7955,10336X0002/F,SAINT ANDRÉ,0,0,0,0,0,1,0,0,0,0,0,0,0,0
31,2264,09845C1426/F,UPS,0,0,0,0,1,1,0,0,0,0,0,0,0,0
32,894,09541X0021/F,Beaucaire,0,0,0,0,1,1,0,0,0,0,0,0,0,0
32,715,09536X0008/F,A Seignebon,0,0,0,0,0,1,0,0,0,0,0,0,0,0
32,710,10072X0026/F,Près de Flourette,0,0,0,0,0,1,0,0,0,0,0,0,0,0
32,705,09546X0022/F,Le Masca,0,0,0,0,0,1,0,0,0,0,0,0,0,0
32,702,10078X0001/F,PUYMAURIN 2,0,0,0,0,1,1,0,0,0,0,0,0,0,0
32,701,10082X0001/F,POLASTRON,0,0,0,0,1,1,0,0,0,0,0,0,0,0
32,704,09824X0002/F,Saint cricq,0,0,0,0,1,1,0,0,0,0,0,0,0,0
33,2005,08517X0018/F,"A LA HOUEYTE - SECTION A - PARCELLE 844, 845 (BALIZAC - 33)",0,0,0,0,1,1,0,0,0,0,0,0,0,0
33,608,08266X0140/PZ,Biganos - 08266X0140/PZ,0,0,0,0,0,1,0,0,0,0,0,0,0,0
33,1439,08266X0136/F,CAMP DE NOMADES - PARCELLE 81 (BIGANOS - 33),0,0,0,0,0,1,0,0,0,0,0,0,0,0
